ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,combined_noise_mean_db,race_ethnicity_minority_status,black_prop,insurance_coverage_prop,late_prenatal_care_prop,maternal_age_risk_prop,low_education_prop
90001,3936.0,308.0,7.825203252032519,56.810581296468,0.9909,0.0744987164365503,0.9997745091237078,0.18864329268292682,0.17848069105691056,0.6941056910569106
90002,3839.5,324.5,8.451621304857403,57.5884034956156,0.9926,0.1573209309331927,0.9998493635610454,0.17736684464122932,0.16968355254590442,0.681338715978643
90003,5583.5,439.5,7.871406823676905,60.22262752207088,0.9921,0.164640648325869,0.999760076775432,0.19826273842571865,0.17041282349780604,0.7108444524044059
90004,2642.0,211.0,7.986373959121877,56.03584524467294,0.7972,0.0445158329508949,0.9988441860860402,0.19473883421650265,0.3319454958364875,0.429220287660863
90005,1537.0,140.0,9.108653220559532,54.01258679515594,0.9054,0.0531334428140064,0.9973777612968162,0.16590761223162004,0.29245283018867924,0.47755367599219256
90006,2755.5,211.5,7.675557974959172,54.95020595050548,0.9524,0.0294730522003249,0.9902345129617856,0.20050807475957177,0.23498457630194158,0.6263835964434766
90007,1275.5,123.5,9.682477459819678,57.84175850631621,0.8459,0.0862111013559652,0.9997805092186128,0.19482555860446885,0.20893767150137202,0.5331242649941199
90008,1625.5,168.5,10.366041218086744,55.99239640537296,0.9518,0.6363224089974604,0.9993046317571652,0.1651799446324208,0.31128883420486003,0.4060289141802522
90010,159.5,27.5,17.24137931034483,56.17447482719524,0.8414,0.054958183990442,1.0,0.2413793103448276,0.5297805642633229,0.1724137931034483
90011,6908.5,562.5,8.14214373597742,55.28498221116358,0.9887,0.0574489353275117,0.998660907942136,0.2131432293551422,0.18477238184844758,0.7166533979879858
90012,1044.0,104.0,9.961685823754788,59.3804564773301,0.8181,0.1319542024460057,0.7597449908925319,0.1446360153256705,0.31417624521072796,0.2624521072796935
90013,843.0,132.0,15.658362989323845,56.84631796310632,0.7303,0.2768903818468499,0.9997257832316446,0.09134045077105575,0.15895610913404506,0.1073546856465006
90014,299.0,77.0,25.75250836120401,55.02791610001124,0.7331,0.2075919335705812,0.9980588806211582,0.20234113712374582,0.2792642140468227,0.18394648829431437
90015,1189.5,130.5,10.970996216897856,59.19344732898584,0.8584,0.0905924708460515,0.9996478046489786,0.18200924758301806,0.2828919714165616,0.44724674232870953
90016,2437.5,200.5,8.225641025641025,58.28382998684374,0.9042,0.2753810057282969,0.9988585681371408,0.15405128205128205,0.3083076923076923,0.40615384615384614
90017,1372.0,142.0,10.349854227405247,57.68899227789689,0.8952,0.128642971412673,0.998365444807679,0.18986880466472303,0.266399416909621,0.5663265306122449
90018,2500.5,204.5,8.178364327134572,58.08815400377986,0.9275,0.2429957112509519,0.9875345705238688,0.17036592681463708,0.265746850629874,0.5082983403319337
90019,2962.5,234.5,7.915611814345993,55.68694915499731,0.83,0.1788251136172361,0.9886719407507154,0.1470042194092827,0.36050632911392405,0.3635443037974683
90020,1578.0,156.0,9.88593155893536,53.97620089703869,0.8907,0.07078125,0.9998958333333332,0.17363751584283904,0.2899239543726236,0.37072243346007605
90021,162.5,49.5,30.461538461538463,58.79409869466077,0.8068,0.2139518158935634,1.0,0.3384615384615385,0.3046153846153846,0.3046153846153846
90022,3638.5,271.5,7.46186615363474,58.48981058651322,0.9824,0.0052847366205746,0.9995011458057276,0.12683798268517246,0.2025559983509688,0.6005221932114883
90023,2677.0,212.0,7.919312663429212,58.80226427271576,0.9813,0.0103685084608824,0.996521387854033,0.134852446768771,0.21273813970862906,0.6503548748599178
90024,1215.0,108.0,8.88888888888889,54.89346766435282,0.5178,0.0457413875218288,0.9998412446420066,0.06131687242798354,0.43950617283950616,0.04238683127572016
90025,2221.0,174.0,7.834308869878432,58.08370204079793,0.4476,0.0347070607035945,0.9941254585968624,0.05853219270598829,0.4455200360198109,0.062134173795587576
90026,2775.0,226.0,8.144144144144144,57.370984130290566,0.7071,0.0378112986150782,0.9953527150334264,0.15981981981981982,0.3527927927927928,0.38306306306306304
90027,1729.5,139.5,8.065915004336514,59.10400527434221,0.4125,0.0349619788480028,0.9918276374442794,0.0997398091934085,0.4856895056374675,0.14426134721017636
90028,890.0,90.5,10.168539325842698,57.17217988243792,0.5904,0.0895035827254534,0.9960299528758634,0.19213483146067414,0.29775280898876405,0.3235955056179775
90029,1375.0,151.5,11.01818181818182,57.33771516404603,0.7343,0.0315737827931542,0.9849923518716268,0.17963636363636365,0.27636363636363637,0.5374545454545454
90031,1712.5,151.5,8.846715328467154,58.41837713544522,0.9229,0.0218650719491683,0.9894812718583976,0.12905109489051095,0.2654014598540146,0.4472992700729927
90032,2139.5,177.5,8.296330918438887,56.397535224182974,0.9161,0.0279851161961631,0.9965018604754796,0.12713250759523254,0.2689880813274129,0.37158214536106565
90033,2459.5,210.5,8.558650132140679,59.22701375102942,0.9739,0.0190326303640751,0.9903053194837896,0.14555804025208377,0.20491969912583857,0.6399674730636308
90034,2669.0,225.0,8.430123641813413,58.158401342809725,0.6164,0.0937324058771181,0.9961315631753872,0.07399775196702885,0.3881603596852754,0.14424878231547397
90035,2093.5,159.5,7.618820157630762,54.30919361035399,0.3314,0.071404399323181,0.991990975747321,0.05803678051110581,0.35968473847623594,0.08645808454740865
90036,2288.5,142.5,6.226786104435219,55.57836563066586,0.4448,0.0633203404661522,0.9961816880120912,0.0806204937732139,0.3958925060083024,0.11055276381909548
90037,4017.0,310.0,7.717201891959173,58.244263681457085,0.979,0.1542627128460558,0.997046218000695,0.21135175504107542,0.19467264127458303,0.6878267363704257
90038,1013.5,106.0,10.458806117414898,55.84723541525898,0.7054,0.0682654848279066,0.9999642589084672,0.1785890478539714,0.26097681302417364,0.46176615688209177
90039,1319.0,101.0,7.657316148597422,57.262973359610456,0.596,0.0160033989519898,0.990228013029316,0.09287338893100834,0.5216072782410918,0.14783927217589082
90040,667.0,93.5,14.017991004497752,59.100433992284266,0.9802,0.0052369287946617,0.997634935383056,0.12593703148425786,0.23163418290854573,0.487256371814093
90041,1134.5,94.5,8.329660643455266,57.63981076445427,0.6918,0.0202676459164577,0.993008721443452,0.09078889378580873,0.4883208461877479,0.10665491405905686
90042,2797.0,223.0,7.972828030032178,56.94673821484773,0.7813,0.0216902503761559,0.9962637994285812,0.10207365033964963,0.4011440829460136,0.26135144797997856
90043,2339.5,245.5,10.493695234024363,56.6531987124302,0.9445,0.5992217898832685,0.9936123793886776,0.1607181021585809,0.28638597991023723,0.423167343449455
90044,6247.0,601.0,9.620617896590364,58.3369412689281,0.9864,0.3130114152944742,0.9989796949186788,0.1936929726268609,0.18841043700976468,0.6720025612293901
90045,1908.0,154.0,8.071278825995808,62.70633879741408,0.5195,0.0875665685869221,0.9990759429029984,0.06367924528301887,0.445230607966457,0.07730607966457023
90046,1515.5,97.5,6.433520290333224,54.138292888229785,0.3326,0.0550965331118953,0.993855096533112,0.07489277466182778,0.4948861761794787,0.09930715935334873
90047,2778.0,254.0,9.14326853851692,57.9865332863772,0.9768,0.5173180076628352,0.9988888888888888,0.16108711303095752,0.21976241900647947,0.4920806335493161
90048,1245.0,130.0,10.441767068273093,55.81376933588225,0.2062,0.0401254225662632,0.9812356082504532,0.048594377510040164,0.46265060240963857,0.06746987951807229
