FIPS,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,poverty_rate,homeownership_rate
91367,0.4965,0.4257,0.3604,0.404,0.6286,44862,29423,3251,5762,6933,106355.0,18234,8925,44849,35.3,5133,0.48947022046725897
91371,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
91377,0.0743,0.0947,0.2005,0.2873,0.1338,13627,10172,28,2547,1141,150898.0,5015,3577,13613,32.9,752,0.713260219341974
91381,0.3316,0.3491,0.4693,0.5864,0.2265,20864,10542,1161,4974,4110,148873.0,6817,4266,20864,33.9,1023,0.6257884700014669
91384,0.4702,0.383,0.2694,0.6204,0.6107,27652,15078,1343,2392,11465,127416.0,7103,6032,23478,22.6,958,0.8492186400112628
91387,0.548,0.4889,0.4739,0.6555,0.5174,46812,23878,3451,4581,20317,111090.0,14036,9012,46806,23.6,4798,0.6420632658877173
91390,0.1444,0.1064,0.2387,0.3785,0.3117,18930,13000,413,1028,5021,145465.0,6194,5412,18835,27.4,998,0.8737487891507911
91401,0.7877,0.8655,0.4745,0.6034,0.8065,39179,20402,2122,1885,17301,72476.0,14963,5073,39158,25.1,6797,0.3390362895141349
91402,0.9801,0.9725,0.9235,0.9008,0.9085,67937,12486,2196,10311,47590,55130.0,20036,7194,67532,15.1,12967,0.3590537033339988
91403,0.314,0.3924,0.1251,0.3541,0.4519,25887,17965,1566,2108,4288,107970.0,11923,5000,25887,37.9,1963,0.41935754424222094
91405,0.9515,0.9444,0.7764,0.7705,0.9623,55451,20437,2371,4985,33815,58365.0,18370,4943,55140,19.3,10898,0.2690800217746325
91406,0.8608,0.8801,0.7486,0.7394,0.792,53276,20578,2348,3961,30707,71819.0,18792,7367,53211,18.1,8959,0.3920285227756492
91411,0.8327,0.8865,0.4629,0.681,0.8876,23689,10923,1721,2100,11299,73669.0,9218,2735,23410,27.2,4063,0.29670210457799956
91423,0.3029,0.4982,0.0991,0.3048,0.3772,31787,23195,1580,1732,4413,104205.0,14902,5652,31673,40.1,2489,0.37927794926855457
91436,0.1766,0.1637,0.3662,0.128,0.2903,16190,13569,338,729,1254,155346.0,5965,4624,16137,34.8,1045,0.7751886001676446
91501,0.6222,0.6082,0.7184,0.3127,0.5249,18951,13912,317,1652,3156,80198.0,7731,2925,18945,28.6,2322,0.37834691501746215
91502,0.738,0.6175,0.847,0.5348,0.7329,12312,7519,542,1720,3520,59711.0,5585,537,12278,26.0,1631,0.09615040286481648
91504,0.6287,0.5199,0.6547,0.4646,0.6761,27479,17001,1269,3422,6322,99318.0,10224,5639,27424,27.9,3137,0.5515453834115805
91505,0.3784,0.3819,0.1906,0.4833,0.4954,32156,19706,978,3288,8968,104361.0,13017,5970,32142,31.0,2836,0.4586310209725743
91506,0.3801,0.2789,0.3024,0.451,0.5481,19559,12479,234,2934,4983,104009.0,8103,4698,19274,35.3,1549,0.5797852647167716
91601,0.7094,0.8175,0.1895,0.5688,0.8111,35615,20086,3479,3165,11778,73735.0,17625,2999,35549,38.8,6086,0.17015602836879432
91602,0.2947,0.5023,0.0649,0.404,0.3841,19980,12643,1433,1918,3709,93210.0,10057,3247,19980,39.7,1671,0.32285969971164363
91604,0.3357,0.3883,0.1049,0.2895,0.5857,32073,23363,1366,2765,3817,132494.0,14449,6356,31778,39.4,2160,0.43989203405079935
91605,0.9398,0.9497,0.6999,0.7343,0.9519,51654,22682,1050,4375,31259,61031.0,16145,6347,51347,15.9,9058,0.3931248064416228
91606,0.8766,0.9041,0.613,0.6714,0.9206,43552,22253,2182,1720,23367,64976.0,15339,5204,43333,18.9,8041,0.339265923463068
91607,0.6749,0.6725,0.3824,0.4476,0.8024,30734,18441,2177,2513,7152,82995.0,13751,4237,30382,34.2,3813,0.30812304559668385
91608,0.0135,0.0994,0.0,0.4119,0.0939,56,56,0,0,23,56898.0,41,0,56,69.6,0,0.0
91701,0.3374,0.2099,0.4623,0.6057,0.3946,39323,21395,2280,4127,15292,111745.0,13098,10278,39240,21.6,1877,0.7846999541914796
91702,0.8158,0.7497,0.4432,0.8691,0.9473,62196,23796,1723,8219,42607,82382.0,16947,9913,61902,15.7,7040,0.584941287543518
91706,0.8509,0.8544,0.7706,0.966,0.6993,72495,19364,733,15928,52858,76348.0,18343,10943,72134,11.5,9849,0.5965763506514746
91708,0.8193,0.776,0.5782,0.8198,0.8911,15908,4205,2099,5256,5016,102150.0,4702,2263,14909,22.6,1382,0.4812845597618035
91709,0.3725,0.3556,0.2775,0.77,0.3534,78341,25785,3232,31309,22495,117603.0,25192,17767,78198,32.1,5598,0.7052635757383297
91710,0.645,0.5263,0.4484,0.8181,0.7265,81466,32438,4098,11709,48442,98099.0,23254,15628,77939,19.1,6564,0.6720564204007913
91711,0.3754,0.2222,0.3268,0.5365,0.5585,37542,21119,1982,5689,9368,115079.0,12893,8434,37222,27.6,1916,0.6541534165826417
91722,0.6807,0.5164,0.6964,0.8635,0.6419,34470,12857,1207,5584,21897,95157.0,10024,6755,34397,16.3,2252,0.6738826815642458
91723,0.7287,0.6743,0.5539,0.8181,0.7173,17964,7814,864,1780,11656,82018.0,6164,2395,17749,16.2,1784,0.3885463984425698
91724,0.5778,0.4585,0.5064,0.7943,0.5446,28575,11638,1495,4244,15800,96720.0,9052,6254,28533,23.4,2499,0.6908970393283252
91730,0.6234,0.5392,0.5324,0.7428,0.6002,71040,29700,7194,9675,32169,84850.0,24998,12106,70993,20.9,7241,0.48427874229938395
91731,0.9965,0.9573,0.9705,0.9569,0.9965,28201,6541,115,8170,18305,57047.0,8370,2856,28020,11.4,4806,0.34121863799283153
91732,0.9556,0.893,0.8505,0.9694,0.9496,58888,13272,469,16987,38865,62047.0,15614,6776,58358,11.1,9564,0.4339695145382349
91733,0.9602,0.9556,0.7758,0.9807,0.9299,42953,8922,323,10224,31063,63883.0,10952,4750,42764,8.5,8209,0.4337107377647918
91737,0.3608,0.3626,0.6338,0.5677,0.1929,23108,12868,1351,3114,7356,112857.0,7902,5598,23107,25.4,1932,0.7084282460136674
91739,0.2889,0.1883,0.2144,0.7071,0.4206,41319,17871,4615,8279,14222,138079.0,11586,8461,38742,25.7,1872,0.730277921629553
91740,0.6725,0.4064,0.8158,0.6686,0.7578,27131,14066,619,2613,13473,96433.0,8393,5479,26386,20.7,2302,0.6528059096866436
91741,0.2532,0.2164,0.2885,0.5071,0.3163,26052,15932,667,3473,7759,117252.0,8703,6227,26002,25.5,1399,0.7155004021601746
91744,0.7883,0.7357,0.7688,0.9615,0.6309,79380,22037,949,10713,63777,86290.0,18445,12685,79289,9.6,8103,0.6877202493900786
91745,0.5836,0.4573,0.544,0.8827,0.5116,55489,14803,470,23101,23969,101427.0,16388,12369,55422,24.1,5861,0.75475958018062
