FIPS,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,poverty_rate,homeownership_rate
92102,0.9404,0.9351,0.7057,0.7609,0.9589,40051,21084,3699,2521,23128,68900.0,14482,4623,38831,18.5,6589,0.3192238641071675
92103,0.355,0.2327,0.2428,0.3263,0.6756,34296,25816,854,2344,6723,94210.0,18834,6797,33234,34.8,2682,0.36088988000424765
92104,0.3924,0.5912,0.0834,0.5292,0.4137,46613,28930,3806,2591,15172,86291.0,22454,6365,45749,34.7,4528,0.28346842433419434
92105,0.9795,0.962,0.8946,0.8623,0.9612,72688,22360,9179,13810,37254,58924.0,22847,7368,71604,14.0,16721,0.3224931063159277
92106,0.2673,0.2421,0.1327,0.2391,0.5348,20483,15845,485,829,3055,119782.0,7519,4571,18874,30.1,1392,0.6079265859821785
92107,0.2181,0.3895,0.0481,0.1847,0.4623,29435,23922,579,1036,4393,101042.0,13653,4885,29018,35.5,2561,0.35779682121145534
92108,0.2737,0.3655,0.0324,0.5178,0.5805,24201,14171,1625,3287,5796,97705.0,12637,3764,22625,36.8,2420,0.2978555036796708
92109,0.1251,0.2421,0.0238,0.2062,0.4705,44009,35622,899,1841,5602,106399.0,21783,6952,43212,44.3,3667,0.3191479594178947
92110,0.4661,0.4029,0.1008,0.3989,0.876,30773,20850,1314,2327,6193,95408.0,12296,4464,29816,34.1,3890,0.3630448926480156
92111,0.6848,0.5836,0.3998,0.5904,0.8766,47710,26964,2356,8461,14728,94540.0,16911,8944,46891,25.1,5559,0.5288865235645438
92113,0.986,0.976,0.883,0.9405,0.9548,50983,24600,5351,1918,39553,56427.0,13719,3767,50497,7.3,11056,0.2745826955317443
92114,0.793,0.7158,0.8001,0.9082,0.69,66487,18998,11787,15999,29569,84966.0,18293,12914,65622,14.8,8144,0.7059530968129886
92115,0.7585,0.8327,0.1732,0.6057,0.9415,61456,33133,6035,7825,18481,68420.0,21271,8105,60267,23.1,12697,0.3810352122608246
92116,0.2754,0.4275,0.0603,0.451,0.4218,31836,21427,1656,1813,9341,93661.0,16421,5536,31478,34.0,2807,0.3371292856707874
92117,0.3918,0.3667,0.3476,0.4357,0.4363,54499,35936,1690,5322,13600,101445.0,20750,11588,53997,31.8,5131,0.5584578313253012
92118,0.3257,0.1749,0.3986,0.281,0.5649,17602,14002,605,641,3383,125558.0,6549,3554,14634,33.6,900,0.5426782714918308
92119,0.3655,0.2468,0.5481,0.3541,0.4403,24419,17368,907,2190,4137,105849.0,9311,6905,24151,31.8,1562,0.7415959617656536
92120,0.3269,0.2678,0.2202,0.3734,0.5336,30241,21082,1800,2276,5835,111909.0,11882,7583,29926,34.5,2521,0.638192223531392
92121,0.0825,0.2129,0.0232,0.5235,0.2219,4150,2166,90,1114,581,125000.0,1658,803,4130,34.9,747,0.48431845597104944
92122,0.3702,0.4298,0.051,0.5048,0.6767,45988,25634,725,13584,6313,98330.0,19549,6608,45788,37.5,9927,0.3380224052381196
92123,0.5386,0.5012,0.3743,0.5779,0.5614,32951,17217,2765,6864,6833,111282.0,12222,5495,31121,29.3,3275,0.4495990836197022
92124,0.1637,0.1813,0.3546,0.4323,0.164,31121,20656,2060,3346,6356,105885.0,11383,5034,28839,31.8,1944,0.4422384257225687
92126,0.507,0.3719,0.3076,0.7677,0.6165,78111,23007,2901,39295,12487,116013.0,25122,13242,77028,28.5,6058,0.5271077143539528
92127,0.2211,0.069,0.3042,0.5552,0.4345,51107,24996,1101,17828,4612,166804.0,15895,11048,50528,41.8,1482,0.695061340044039
92128,0.2368,0.1234,0.4247,0.4561,0.347,49273,28879,1198,12787,5356,125609.0,20428,13370,48569,33.7,2320,0.6544938319953005
92129,0.1795,0.1251,0.325,0.5399,0.2474,52495,27183,990,17780,6002,146754.0,18040,12994,52149,33.2,3218,0.7202882483370289
92130,0.145,0.0655,0.3401,0.5105,0.2503,57363,30924,155,19065,4680,186000.0,20810,13119,57268,34.8,2570,0.6304180682364248
92131,0.1012,0.0275,0.3082,0.4946,0.208,35227,19346,751,9870,4187,169448.0,12623,10116,34889,37.3,1155,0.8013942802820249
92132,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92134,-999.0,-999.0,-999.0,0.5586,-999.0,241,134,46,0,78,,0,0,0,4.2,0,
92135,-999.0,-999.0,-999.0,0.5943,-999.0,1095,525,117,97,361,,0,0,0,6.8,0,
92136,0.1906,0.3532,0.0075,0.5688,0.6651,9630,5287,1617,1213,2297,,16,0,16,21.2,0,0.0
92139,0.6988,0.5743,0.7063,0.8946,0.5904,34930,9580,3888,9998,14195,87463.0,9960,5887,33920,17.4,2894,0.5910642570281125
92140,-999.0,-999.0,-999.0,0.502,-999.0,2807,1920,232,108,962,,0,0,0,9.1,0,
92145,-999.0,-999.0,-999.0,0.5643,-999.0,2810,1602,410,120,912,,0,0,0,12.4,0,
92147,-999.0,-999.0,-999.0,0.6867,-999.0,180,96,47,0,89,,0,0,0,72.0,0,
92154,0.8596,0.7351,0.7711,0.8725,0.9229,83758,36674,4143,9985,57063,83287.0,23076,14327,79308,15.6,8119,0.6208615011267118
92155,-999.0,-999.0,-999.0,0.455,-999.0,196,117,23,0,64,,0,0,0,30.2,0,
92161,-999.0,-999.0,-999.0,0.0,-999.0,12,12,0,0,0,,0,0,0,0.0,0,
92173,0.9906,0.9684,0.9287,0.9739,0.9484,28609,13273,399,444,26832,58209.0,7998,2338,28585,8.4,4656,0.29232308077019253
92179,-999.0,-999.0,-999.0,0.7331,-999.0,3031,1551,1007,43,1078,,0,0,0,2.4,0,
92182,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92201,0.8456,0.8848,0.7144,0.8136,0.7219,64325,22811,2481,1922,47625,60031.0,23790,14440,63706,8.6,9837,0.6069777217318201
92203,0.4924,0.4433,0.6947,0.5864,0.3216,33558,18792,546,759,16915,90708.0,12109,9888,33554,19.0,2658,0.8165827070773805
92210,0.1234,0.2351,0.2908,0.0731,0.1454,4832,4303,169,139,152,132479.0,2581,2010,4830,27.2,229,0.7787679194110809
92211,0.3836,0.3632,0.6825,0.2017,0.3268,26741,20948,950,1014,4137,82917.0,13181,9442,26618,24.5,2527,0.7163341172900387
92220,0.9339,0.8164,0.9861,0.6623,0.8864,32797,15842,2309,1739,15738,55538.0,11788,8490,31844,10.0,5872,0.7202239565659994
92222,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92223,0.5901,0.4643,0.8273,0.6499,0.4171,61686,32401,5841,4396,27638,99983.0,19156,15451,61362,15.2,5068,0.8065880141992066
92225,0.931,0.7667,0.8772,0.7547,0.9948,21189,7977,2318,477,12527,52088.0,5367,3145,15391,5.6,3507,0.5859884479224893
92227,0.9509,0.8971,0.9896,0.8601,0.7399,27540,14533,233,320,22972,56559.0,7839,4194,27415,12.5,6341,0.5350172215843858
92230,0.6281,0.3684,0.9189,0.5654,0.5829,2039,1163,7,98,867,73750.0,719,584,2037,7.4,299,0.8122392211404729
92231,0.9678,0.9585,0.993,0.9887,0.6501,38674,16094,58,596,37789,51750.0,9413,4768,38607,16.1,8706,0.5065335174758313
92233,0.7918,0.9327,0.2926,0.9263,0.6819,6871,2508,839,157,5259,46553.0,1151,760,3637,1.6,969,0.6602953953084274
92234,0.8205,0.8187,0.7121,0.7133,0.774,51964,25710,988,3590,30625,63209.0,18868,12133,51873,15.5,8978,0.6430464278142888
92236,0.7228,0.9281,0.5,0.9836,0.2845,42506,5103,212,107,41514,52489.0,13996,9512,42506,3.7,4710,0.6796227493569591
92239,0.1567,0.2269,0.1182,0.1847,0.3465,296,236,10,4,57,,120,94,296,11.3,48,0.7833333333333333
92240,0.9368,0.9094,0.9525,0.7552,0.8036,40755,18228,3161,1051,25655,48469.0,14278,7505,40744,8.8,8052,0.5256338422748285
92241,0.762,0.8439,0.6842,0.472,0.6402,8232,5627,115,105,3515,42771.0,3725,3141,8229,11.3,1417,0.8432214765100671
92242,0.4719,0.7053,0.5127,0.1156,0.2399,1230,1052,0,6,148,41429.0,628,521,1230,4.8,184,0.8296178343949044
92243,0.9848,0.8713,0.9925,0.9184,0.9525,49193,13771,1674,689,42446,54250.0,13520,7106,48152,10.4,10365,0.5255917159763314
92249,0.7573,0.7409,0.8384,0.9909,0.4334,7910,3101,68,27,7759,56604.0,1834,1248,7910,17.8,1268,0.6804798255179935
92250,0.8988,0.8205,0.92,0.7921,0.8337,8033,3457,79,92,6014,56673.0,2073,1119,8033,9.4,1592,0.5397973950795948
92251,0.8246,0.6901,0.938,0.8674,0.7016,27050,12189,1264,786,21226,90632.0,6049,4114,23636,13.2,2998,0.6801124152752521
92252,0.6485,0.8047,0.4484,0.3127,0.5145,7911,6115,158,249,1892,53868.0,3347,2251,7699,17.6,1618,0.6725425754406932
92253,0.4187,0.5228,0.4554,0.4601,0.2526,37898,24711,744,1394,13845,92744.0,15371,11411,37852,24.3,3601,0.7423719992193091
92254,0.8427,0.9702,0.5556,0.9926,0.5469,9362,611,0,0,9172,38103.0,3390,2433,9362,1.5,1614,0.7176991150442478
92256,0.6404,0.8696,0.6831,0.268,0.2851,3387,2663,75,14,857,45938.0,1559,1081,3387,8.6,871,0.6933932007697242
92257,0.9807,0.907,0.9983,0.6935,0.8801,1186,632,255,16,441,11181.0,587,271,1174,6.6,611,0.4616695059625213
92258,0.9614,0.9181,0.9647,0.8091,0.8737,547,179,99,2,340,24853.0,208,88,545,4.2,243,0.4230769230769231
92259,0.2544,0.8877,0.0267,0.3093,0.0829,225,152,0,0,73,,145,97,225,6.6,68,0.6689655172413793
92260,0.6871,0.6263,0.7671,0.3785,0.6524,31039,21489,645,1293,8545,68750.0,14728,9650,30831,25.8,4674,0.655214557305812
92262,0.6942,0.6737,0.5527,0.438,0.7491,25856,17598,2538,1095,6952,63710.0,13086,8109,25588,24.1,4196,0.6196698762035764
92264,0.6105,0.6327,0.4386,0.3031,0.6622,20229,15257,413,1273,4050,70305.0,11234,7697,20157,25.9,2171,0.6851522164856685
92266,0.5637,0.6491,0.5632,0.1705,0.482,170,156,0,0,39,20677.0,113,34,170,14.1,22,0.3008849557522124
92267,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92268,0.1596,0.514,0.4148,0.1983,0.0394,405,405,0,0,101,63971.0,232,194,405,11.1,116,0.8362068965517241
92270,0.4333,0.4357,0.4473,0.1456,0.493,17257,14279,268,849,2001,105557.0,8735,7100,17060,23.8,1878,0.8128219805380652
92273,0.8404,0.9374,0.9322,0.9881,0.3505,1631,835,124,0,1492,53162.0,373,222,1631,4.7,390,0.5951742627345844
92274,0.8497,0.9883,0.6952,0.9082,0.438,15917,2797,34,23,14236,30489.0,5983,5168,15917,3.2,3487,0.8637807120173826
92275,0.6667,0.6398,0.9826,0.7133,0.2034,1406,537,0,0,981,32531.0,521,458,1406,4.0,372,0.8790786948176583
92276,0.7211,0.5673,0.9299,0.6731,0.5689,8242,4013,13,3,5246,68504.0,2835,2229,8241,12.6,1080,0.7862433862433862
92277,0.6193,0.7058,0.7074,0.4833,0.3523,27370,16921,2084,932,6512,50957.0,10511,4063,23566,18.5,4883,0.3865474265055656
92278,-999.0,-999.0,-999.0,0.5507,-999.0,3574,1914,445,108,1212,,0,0,0,2.4,0,
92280,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92281,0.914,0.9257,0.9815,0.9065,0.533,2238,871,9,11,1966,35020.0,549,277,2238,5.8,950,0.5045537340619308
92282,0.6924,0.6795,0.6813,0.6487,0.5324,1361,644,73,29,692,70625.0,454,362,1360,10.0,275,0.7973568281938326
92283,0.9292,0.8667,0.9299,0.783,0.8673,1967,546,5,10,479,33462.0,596,333,1967,7.1,805,0.5587248322147651
92284,0.7439,0.7573,0.9131,0.3592,0.5104,25741,18674,856,538,6390,50729.0,10451,7112,25447,13.7,5250,0.680509042196919
92285,0.7222,0.8842,0.3679,0.2516,0.7109,2726,2053,134,74,397,39656.0,1081,918,2326,10.8,436,0.849213691026827
92301,0.9772,0.9532,0.9421,0.9156,0.9276,38565,13380,5805,872,26697,61709.0,9259,5738,36276,5.2,6560,0.6197213521978615
92304,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92305,0.0257,0.0579,0.0898,0.1156,0.0498,500,484,0,0,82,108000.0,172,141,500,41.7,72,0.8197674418604651
92307,0.6778,0.7877,0.7885,0.5399,0.3366,40534,25229,2910,1337,15243,71450.0,13326,9100,40316,11.6,5837,0.6828755815698634
92308,0.7778,0.7819,0.945,0.5518,0.5122,43191,27736,3308,1131,16653,60717.0,14117,9822,42982,10.9,7930,0.6957568888574059
92309,0.9585,0.8749,0.887,0.8878,0.9733,561,294,0,12,482,31786.0,216,73,561,0.0,167,0.33796296296296297
92310,0.469,0.6485,0.2619,0.4958,0.3291,8967,5612,1086,290,2136,63369.0,2853,42,4978,24.7,865,0.014721345951629864
92311,0.8725,0.7889,0.9108,0.711,0.8407,34226,16588,4361,474,16381,57687.0,11935,5617,33793,6.7,7215,0.47063259321323836
92313,0.6637,0.5684,0.4861,0.6436,0.759,13104,7303,592,564,6711,89781.0,4652,2962,13046,17.3,965,0.6367153912295787
92314,0.5912,0.7257,0.7543,0.2992,0.2752,10658,8846,7,67,2661,70238.0,4372,3023,10658,17.6,1551,0.6914455626715462
92315,0.6058,0.6468,0.4392,0.3229,0.6066,5228,4058,13,134,1499,71653.0,2252,1502,5198,20.5,699,0.6669626998223801
92316,0.7567,0.7491,0.7138,0.8867,0.54,30656,10474,986,220,25407,76161.0,7877,5304,30629,7.5,4252,0.6733527992890694
92317,0.0526,0.4187,0.1054,0.2057,0.0,567,567,0,0,144,,279,217,567,20.3,0,0.7777777777777778
92320,0.414,0.307,0.6356,0.3972,0.4119,10366,6978,252,402,2961,74236.0,3767,3375,10347,20.6,783,0.8959384125298646
92321,0.5842,0.8982,0.5614,0.4754,0.1408,784,658,0,0,361,47448.0,373,314,784,10.2,192,0.8418230563002681
92322,0.0345,0.1515,0.0597,0.3405,0.0475,746,531,0,24,142,,336,336,746,23.5,80,1.0
92324,0.883,0.8444,0.8453,0.8714,0.8123,57593,21730,5042,1541,42042,66836.0,17896,9563,57299,11.1,8703,0.534365221278498
92325,0.3164,0.5585,0.179,0.2708,0.2491,8449,6564,339,23,1837,76200.0,3359,2467,8432,18.6,942,0.7344447752307234
92327,0.5146,0.9889,0.2196,0.3501,0.0921,633,467,83,0,144,,351,102,633,3.5,396,0.2905982905982906
92328,0.2468,0.1696,0.1101,0.3592,0.5782,1022,850,0,7,346,85956.0,477,85,1022,29.6,171,0.17819706498951782
92332,0.2708,0.1614,0.1773,0.3195,0.5973,177,118,0,15,44,193342.0,61,15,177,0.0,15,0.2459016393442623
92333,0.3766,0.5725,0.8494,0.0397,0.106,429,413,0,0,12,136875.0,203,151,429,36.0,14,0.7438423645320197
92335,0.9012,0.9088,0.737,0.9218,0.8233,96704,19715,3636,1746,82072,70082.0,24907,11786,96476,8.7,15574,0.4732003051351026
92336,0.4889,0.4363,0.5168,0.8363,0.3384,100571,32270,10422,11371,57345,116942.0,27112,21849,100265,19.1,7491,0.8058793154322809
92337,0.5509,0.5591,0.4577,0.9184,0.3667,37292,8418,3674,2367,27173,99414.0,9618,7209,37278,13.9,3182,0.7495321272613849
92338,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92339,0.5427,0.7579,0.9044,0.2283,0.1118,1064,799,12,0,89,70795.0,433,269,1064,19.4,143,0.6212471131639723
92341,0.0737,0.3772,0.1304,0.2912,0.0365,331,295,0,0,103,77813.0,145,122,331,6.9,44,0.8413793103448276
92342,0.1544,0.2187,0.1333,0.5586,0.201,6317,3652,486,368,1547,99250.0,2374,2075,6317,9.6,349,0.8740522325189554
92344,0.3409,0.4708,0.3169,0.7093,0.1703,20448,11246,437,882,12677,98533.0,5761,4537,20389,12.2,1911,0.7875368859572991
92345,0.8181,0.9234,0.8401,0.7071,0.4855,87476,55278,3515,1277,53939,64243.0,25630,15956,87357,6.8,16607,0.6225516972298089
92346,0.7713,0.6749,0.8262,0.766,0.7039,60025,25952,5617,5492,33205,81571.0,18015,12066,59704,13.8,8003,0.6697751873438801
92347,0.5029,0.7702,0.3158,0.1875,0.3013,601,456,0,0,145,44063.0,258,174,601,7.0,238,0.6744186046511628
92350,0.5351,0.8339,0.0151,0.6595,0.6883,468,191,58,137,101,,15,0,468,72.1,28,0.0
92352,0.1801,0.2871,0.3673,0.1915,0.1582,6147,4908,22,78,970,104683.0,2308,1974,6127,24.4,612,0.8552859618717504
92354,0.8018,0.6234,0.7335,0.6793,0.9618,23054,9931,2048,6102,6278,72951.0,8132,3375,22782,24.0,3265,0.41502705361534675
92356,0.9427,0.9596,0.982,0.4771,0.7543,7048,4706,202,124,2590,43780.0,2462,1690,7048,9.5,2443,0.6864337936636881
92358,0.2035,0.4906,0.139,0.4476,0.1101,762,730,0,32,310,68750.0,329,279,762,7.7,96,0.8480243161094225
92359,0.6766,0.5322,0.5689,0.596,0.8273,9758,5657,423,556,4191,71384.0,3261,2117,9705,16.0,1127,0.6491873658386997
92363,0.7936,0.8959,0.8297,0.4992,0.5388,5447,3474,166,47,1632,39155.0,2218,1305,5440,6.9,1538,0.5883678990081154
92364,0.0205,0.338,0.0,0.0,0.0672,12,12,0,0,0,,12,0,12,0.0,6,0.0
92365,0.7327,0.648,0.8482,0.4589,0.6935,2393,1474,50,268,577,59375.0,910,667,2393,5.5,442,0.7329670329670329
92368,0.8281,0.9047,0.989,0.6952,0.3378,1018,576,26,56,518,43750.0,296,172,1018,10.9,202,0.581081081081081
92369,-999.0,-999.0,-999.0,0.7218,-999.0,3999,1647,1173,190,1185,,0,0,13,4.8,8,
92371,0.7626,0.8684,0.6512,0.5688,0.5742,21265,14361,160,570,9991,73410.0,5789,4356,21231,5.9,3335,0.7524615650371395
92372,0.6503,0.9023,0.6153,0.5292,0.2225,5208,3709,0,425,2079,52296.0,1827,1438,5208,9.4,810,0.7870826491516146
92373,0.4988,0.348,0.4548,0.4612,0.6582,33946,21367,1569,3850,8834,93886.0,13078,7044,33386,27.0,2296,0.5386144670438905
92374,0.6994,0.6129,0.5475,0.6538,0.7648,44976,23421,2392,3536,20475,92821.0,14590,8351,44834,17.1,4382,0.5723783413296779
92376,0.9421,0.9251,0.7694,0.9337,0.9143,85727,32450,8812,1403,67906,71825.0,22026,12980,85482,7.5,12101,0.5893035503495868
92377,0.4789,0.5187,0.5452,0.8544,0.2149,20935,7428,3793,702,12663,108973.0,5337,4449,20787,16.2,1987,0.8336143901068016
92378,0.3526,0.4807,0.4647,0.472,0.179,437,355,12,2,191,72813.0,164,130,437,29.1,35,0.7926829268292683
92382,0.1883,0.3058,0.7572,0.2969,0.0492,4884,3659,6,170,992,83303.0,1914,1542,4861,17.3,339,0.8056426332288401
92384,0.0076,0.0,0.0284,0.0,0.0666,23,23,0,0,0,,16,0,23,0.0,0,0.0
92385,0.048,0.5421,0.0446,0.2074,0.0,167,150,0,0,43,69911.0,101,88,167,38.3,31,0.8712871287128713
92386,0.4292,0.8409,0.493,0.1598,0.0794,2064,1821,107,39,281,46597.0,914,557,2064,27.8,586,0.6094091903719913
92389,0.3561,0.2491,0.4334,0.3564,0.4913,187,125,0,10,19,31563.0,111,94,187,6.0,61,0.8468468468468469
92391,0.8105,0.6591,0.9085,0.6147,0.8366,2177,1053,198,175,906,75296.0,927,598,2139,4.2,492,0.645091693635383
92392,0.8164,0.8532,0.8835,0.7807,0.5209,61859,26312,9802,3055,33282,73860.0,16786,11363,61730,8.4,10418,0.6769331585845347
92394,0.8702,0.8725,0.876,0.8567,0.6779,39939,14858,8269,1386,23023,73028.0,9657,6157,36197,8.0,6306,0.6375686030858445
92395,0.9357,0.9175,0.9623,0.7071,0.7816,48479,26088,5813,2105,24744,53147.0,15343,8404,48236,8.6,9776,0.5477416411392818
92397,0.2088,0.2936,0.5435,0.1615,0.1437,5059,4313,26,210,688,77171.0,2319,1867,5059,24.0,718,0.8050884001724882
92398,0.0977,0.507,0.0238,0.1677,0.1298,1394,1238,0,131,187,54122.0,652,344,1394,5.0,158,0.5276073619631901
92399,0.6187,0.524,0.6889,0.4255,0.6275,55236,39659,797,2063,18468,87457.0,18926,14009,54780,15.3,4677,0.740198668498362
92401,0.9994,0.9865,0.9902,0.9207,0.9658,2060,597,635,101,1059,41447.0,720,139,2060,8.5,623,0.19305555555555556
92404,0.945,0.8901,0.9316,0.8164,0.8853,64090,26666,7506,1665,41890,62318.0,18914,9218,63376,6.7,11921,0.4873638574600825
92405,0.907,0.9591,0.8917,0.8442,0.6217,31550,12822,3864,1038,20881,55282.0,9377,4638,31550,8.0,6871,0.494614482243788
92407,0.8263,0.7924,0.7225,0.8402,0.7851,67207,29710,7118,2695,44140,83724.0,17625,10755,65373,12.7,8982,0.6102127659574468
92408,0.9842,0.9439,0.8986,0.8601,0.9896,12478,4632,709,2232,7438,57793.0,3721,1475,12162,12.4,2588,0.39639881752217143
92410,0.9988,0.924,0.9583,0.9218,0.9994,48398,16050,4813,1507,37211,50477.0,13378,5752,46991,5.0,10865,0.42995963522200625
92411,0.9643,0.9526,0.916,0.9632,0.8488,26915,7627,2535,508,22206,54053.0,6594,3567,26776,5.7,6968,0.5409463148316651
92415,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92501,0.8409,0.845,0.679,0.7428,0.8389,22136,10480,1213,992,13634,78750.0,6798,2893,21480,10.9,2532,0.4255663430420712
92503,0.745,0.6754,0.6674,0.7575,0.7225,88617,38566,3006,5881,55244,87042.0,24503,16215,88033,12.6,10151,0.6617557033832592
92504,0.8433,0.7275,0.7839,0.7224,0.9351,57636,27887,4318,3078,31827,83139.0,15843,9958,57341,13.4,6288,0.6285425740074481
92505,0.8135,0.7187,0.6883,0.8017,0.8789,52696,22573,3149,5932,31765,81217.0,14324,7287,52433,14.6,5843,0.5087266126780229
92506,0.3848,0.2696,0.6136,0.5258,0.3656,44344,28029,1927,2219,17259,115246.0,14639,10994,43963,21.7,4171,0.7510075824851424
92507,0.8626,0.8789,0.3378,0.7881,0.9838,60949,20856,4693,9100,32051,67203.0,17561,6056,60798,14.3,10055,0.3448550765901714
92508,0.2105,0.1585,0.2798,0.6351,0.2677,36500,18474,2839,4388,13652,141449.0,10031,7950,36443,18.9,1699,0.792543116339348
92509,0.8187,0.7977,0.7387,0.8312,0.7323,80325,29519,2554,2689,59829,89640.0,19370,13870,79695,9.3,8519,0.7160557563242127
92518,0.5608,0.3269,0.7723,0.6193,0.5759,1132,501,73,113,297,86544.0,493,31,1076,15.3,281,0.06288032454361055
92521,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,,0,0,0,,0,
92530,0.7064,0.7322,0.6257,0.7275,0.5127,58249,25282,2454,2630,35542,77569.0,16620,10863,58129,11.2,6862,0.6536101083032491
92532,0.4427,0.5152,0.5603,0.6028,0.2202,27454,15518,2226,2459,10206,107765.0,7928,6153,27333,20.6,2190,0.7761099899091827
92536,0.4977,0.5462,0.5498,0.3076,0.4027,2569,1774,23,100,551,62703.0,1040,900,2569,15.8,376,0.8653846153846154
92539,0.6129,0.6807,0.7561,0.3773,0.3691,3760,2380,6,411,1058,54107.0,1369,1093,3760,8.7,315,0.7983929875821768
92543,0.9901,0.9357,0.9959,0.6782,0.9502,38403,20682,3409,1082,19926,43881.0,13473,7390,38086,8.8,9748,0.5485044162398872
92544,0.8661,0.848,0.927,0.5989,0.7404,51567,32012,3107,1307,24615,63579.0,16194,10872,51162,8.1,8831,0.671359762875139
92545,0.838,0.7649,0.9015,0.6278,0.7862,45219,26362,3553,1122,21340,56193.0,15700,11042,44926,9.5,4773,0.703312101910828
92548,0.814,0.8719,0.7601,0.7541,0.6031,7110,4257,55,173,4826,56375.0,2159,1580,7102,5.3,960,0.7318202871699862
92549,0.5942,0.6187,0.3343,0.4011,0.646,3535,2377,65,171,930,85577.0,1440,1061,3513,24.0,387,0.7368055555555556
92551,0.7561,0.738,0.7856,0.9348,0.4948,36326,8444,6930,1878,24199,91579.0,8349,5600,36261,10.8,4326,0.6707390106599592
92553,0.9234,0.9573,0.8633,0.911,0.7051,73945,14246,11393,3406,50557,67254.0,19372,9782,73810,9.3,12497,0.5049556060293207
92555,0.5322,0.5766,0.5574,0.8147,0.2711,44923,14694,9275,3254,22267,105490.0,11570,8894,44811,15.4,3564,0.7687121866897147
92557,0.6842,0.7222,0.5979,0.8102,0.4421,54936,16810,9274,3103,29587,89629.0,14864,9882,54817,13.1,6481,0.6648277717976319
92561,0.5538,0.5234,0.529,0.2102,0.6396,1622,1379,0,15,280,90179.0,729,595,1622,13.8,242,0.8161865569272977
92562,0.4497,0.3708,0.5863,0.5088,0.4073,64155,41536,2860,3130,22591,108595.0,20620,14126,63602,19.9,4381,0.685063045586809
92563,0.4456,0.2895,0.5516,0.6125,0.4815,78139,38903,5719,10690,25462,112347.0,22250,16119,76378,21.3,4066,0.7244494382022472
92567,0.6421,0.669,0.4027,0.7598,0.5382,10721,5093,91,9,7375,87484.0,2703,2032,10721,10.8,1214,0.7517573066962634
92570,0.9076,0.876,0.8395,0.8635,0.8557,58275,16927,2319,1153,45897,75249.0,14325,9673,58240,6.3,8141,0.6752530541012216
92571,0.7906,0.8012,0.7167,0.9422,0.5817,59896,13512,6210,2369,46775,81884.0,13832,9769,59667,7.3,7342,0.7062608444187392
92582,0.6392,0.5871,0.7926,0.7705,0.3934,21961,7746,2255,658,13407,88850.0,5228,4330,21820,10.4,3012,0.8282325937260903
92583,0.955,0.883,0.978,0.7343,0.8905,33781,16019,1952,1020,19960,60352.0,9495,6246,33662,8.5,6492,0.6578199052132702
92584,0.3772,0.3602,0.507,0.5779,0.2816,54663,29233,3784,4216,19651,111057.0,15884,13119,54219,17.2,3246,0.8259254595819693
92585,0.5673,0.4994,0.8569,0.7167,0.3007,27083,11414,1825,1489,14653,100470.0,7448,6357,27024,11.0,2904,0.8535177228786252
92586,0.6737,0.6778,0.6553,0.4935,0.5707,20152,12572,1483,624,6571,56528.0,9096,6755,20047,7.8,1938,0.7426341248900615
92587,0.4819,0.4749,0.8019,0.4538,0.2439,18926,12269,640,476,6000,96955.0,6207,4757,18898,16.4,2708,0.7663927823425165
92590,0.7123,0.7076,0.489,0.5841,0.7445,5212,2963,185,320,2240,71827.0,1962,695,5184,23.7,916,0.35423037716615696
92591,0.5023,0.5146,0.4519,0.4895,0.427,41047,24981,1613,4768,11169,101117.0,13641,8285,40669,23.2,3341,0.6073601642108349
92592,0.2234,0.2094,0.3922,0.4816,0.2092,81636,51058,3580,8995,21509,122882.0,24778,19533,80625,25.4,5145,0.7883202841230124
92595,0.6567,0.6497,0.5272,0.5904,0.6112,34698,18705,1290,2153,13664,93376.0,10136,7716,34510,11.6,3325,0.7612470402525651
92596,0.3456,0.3076,0.6269,0.6034,0.2144,35726,18910,2461,3355,12409,114542.0,9417,7696,35480,22.7,2707,0.8172454072422215
92602,0.2667,0.152,0.3951,0.7054,0.2995,26663,9355,56,12515,4581,137037.0,9405,4060,26663,36.8,1848,0.43168527379053695
92603,0.093,0.0667,0.1593,0.4924,0.1889,19329,10782,32,6785,1811,187713.0,7267,4062,19313,38.6,1267,0.5589651850832531
92604,0.3111,0.255,0.5197,0.5314,0.2746,29080,15574,456,9474,3418,120460.0,10364,6399,29013,37.0,2869,0.6174257043612504
