ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,insurance_coverage_prop,log_median_household_income,combined_noise_mean_db
90001,3936.0,308.0,7.825203252032519,79.58889300298623,1.016898793082242,45.87371070311247,1.3518069337520555,0.8166042322810383,0.9468,0.9871,0.8586,0.9909,0.6483,5.4,0.3483121276752224,21.13716783459377,0.2824533407340595,0.0744987164365503,0.0060362173038229,0.9130992853673768,0.9997745091237078,10.962977789850388,56.810581296467994
90002,3839.5,324.5,8.451621304857403,84.28789945185436,1.0104359733521655,44.7937173983572,1.3582134116055224,0.8154269794113795,0.9784,0.9901,0.9554,0.9926,0.7503,5.1,0.4083608698993314,23.98885290351736,0.2317165022218874,0.1573209309331927,0.0115048580251562,0.8240942984107855,0.9998493635610454,10.900823566261408,57.588403495615594
90003,5583.5,439.5,7.871406823676905,91.14788489364793,1.117199574586545,45.92741652618997,1.416786540018033,0.8347100970884265,0.9819,0.9924,0.9513,0.9921,0.7833,4.8,0.2701271186440678,26.84740882917466,0.1717983578588185,0.164640648325869,0.0046651738110471,0.815459053103007,0.999760076775432,10.84495858294058,60.22262752207088
90004,2642.0,211.0,7.986373959121877,87.25532219247842,0.9216457461249248,47.51235065682693,1.2153643401947911,0.5812786499113016,0.9,0.9398,0.4368,0.7972,0.9641,26.7,0.1646201240942422,19.24260194108748,0.2892764264953342,0.0445158329508949,0.2478880900175071,0.4658949909064641,0.9988441860860402,10.975413575941731,56.03584524467294
90005,1537.0,140.0,9.108653220559532,83.06200124585338,1.0181200268138508,50.77260847938786,1.3923551044507618,0.7072037827028652,0.8825,0.9082,0.3308,0.9054,0.978,26.3,0.0783404588426567,23.58955342480267,0.1952375907188642,0.0531334428140064,0.3259257297240027,0.4927424908618954,0.9973777612968162,10.804177218181632,54.01258679515594
90006,2755.5,211.5,7.675557974959172,85.11008181919985,1.0616636636555916,49.88637524675337,1.328511282365438,0.8100570077573456,0.9708,0.9556,0.6541,0.9524,0.9977,16.1,0.1064397905759162,22.764356855265948,0.2338772338772339,0.0294730522003249,0.1831249558522285,0.7245532245532246,0.9902345129617856,10.770567031595473,54.95020595050548
90007,1275.5,123.5,9.682477459819678,92.2271787228805,1.1897530189499947,48.08502108490271,1.4064061828403964,0.7693448089999955,0.9538,0.9953,0.4154,0.8459,0.9774,16.0,0.1061501597444089,33.1626182811433,0.325821871036972,0.0862111013559652,0.1885913569407862,0.5391912984099112,0.9997805092186128,10.500289017309388,57.841758506316204
90008,1625.5,168.5,10.366041218086744,78.17999133990999,0.8211252082536841,42.24656027343708,1.3771224350731457,0.6654504134744168,0.8175,0.8386,0.7016,0.9518,0.6327,17.7,0.3152307064107799,18.23981134357238,0.0946003144273793,0.6363224089974604,0.0299613012456161,0.2630910630064095,0.9993046317571652,10.96612718074542,55.99239640537296
90010,159.5,27.5,17.24137931034483,80.91519798410319,1.018756896896669,50.54657912101194,1.373787032634591,0.6700706044299678,0.4673,0.4667,0.0585,0.8414,0.7283,37.2,0.1654766904661906,9.84468339307049,0.1918757467144564,0.054958183990442,0.6630824372759857,0.0786140979689366,1.0,11.434466502509908,56.17447482719524
90011,6908.5,562.5,8.14214373597742,85.88389724983686,1.0856061920073552,47.515493412413576,1.347554876857635,0.8481245841548956,0.9702,0.9982,0.8841,0.9887,0.7306,5.0,0.2671830812738227,26.982704965956884,0.2418475698308217,0.0574489353275117,0.006223949001339,0.92104071971483,0.998660907942136,10.855512156361394,55.28498221116358
90012,1044.0,104.0,9.961685823754788,94.6329785165443,1.3935942132541963,53.5531782119884,1.6252701198731043,0.6794360659005463,0.8801,0.9275,0.2329,0.8181,0.9971,24.6,0.064034794245567,18.589643507676296,0.2400988810824876,0.1319542024460057,0.3592766068175904,0.275175644028103,0.7597449908925319,10.975824309791976,59.3804564773301
90013,843.0,132.0,15.658362989323845,86.92536641111286,1.467375923572916,59.31217956520964,2.0055089836402344,0.5739860108025685,0.8649,0.9637,0.2706,0.7303,0.9444,21.4,0.0803238658270145,45.64338109275382,0.3255638582299308,0.2768903818468499,0.140878864742579,0.239391238774251,0.9997257832316446,10.120733748584254,56.846317963106316
90014,299.0,77.0,25.75250836120401,85.1753016407394,1.4528505382481682,60.60413152329214,2.072358050811608,0.5994928270700369,0.9187,0.9456,0.5423,0.7331,0.9728,27.0,0.0347540983606557,35.55483662245228,0.3354901326431576,0.2075919335705812,0.2383263237355764,0.2557963981451526,0.9980588806211582,10.186785026670083,55.02791610001124
90015,1189.5,130.5,10.970996216897856,96.98951097122688,1.4002923068016018,54.62096452310155,1.7054120947747835,0.6598021344817125,0.8374,0.9146,0.2225,0.8584,0.9432,30.0,0.0862283844835644,25.354151991860373,0.326054629412225,0.0905924708460515,0.203373248806449,0.5243797448540346,0.9996478046489786,11.03422815495576,59.19344732898584
90016,2437.5,200.5,8.225641025641025,91.2010261030414,0.9613995159258742,46.86813917650528,1.3568896332725688,0.6794165665037005,0.8462,0.8947,0.5927,0.9042,0.7746,20.2,0.363786148514289,15.286731911475618,0.3077004375488807,0.2753810057282969,0.0446215307869538,0.545688980954998,0.9988585681371408,11.052317557364857,58.28382998684374
