ZIP_Code_of_Residence,Year_of_Birth,Annual_Births_By_Zip,LBW_Count,LBW_rate
90026,2019,564.5,39.5,6.997342781222321
90026,2020,550.5,51.5,9.35513169845595
90026,2021,541.5,39.5,7.29455216989843
90026,2022,514.0,43.0,8.365758754863812
90027,2018,360.5,28.5,7.905686546463246
90027,2019,371.5,32.5,8.748317631224763
90027,2020,350.0,22.0,6.2857142857142865
90027,2021,326.5,30.5,9.341500765696784
90027,2022,321.0,26.0,8.09968847352025
90028,2018,178.0,11.0,6.179775280898876
90028,2019,172.0,22.0,12.790697674418606
90028,2020,157.5,5.5,3.492063492063492
90028,2021,209.5,35.5,16.94510739856802
90028,2022,173.0,16.5,9.53757225433526
90029,2018,311.5,22.5,7.223113964686998
90029,2019,278.5,35.5,12.746858168761221
90029,2020,263.5,27.5,10.436432637571158
90029,2021,262.5,35.5,13.523809523809524
90029,2022,259.0,30.5,11.776061776061777
90030,2018,11.0,5.5,50.0
90030,2019,11.0,0.0,0.0
90030,2020,0.0,0.0,
90030,2021,0.0,0.0,
90030,2022,5.5,0.0,0.0
90031,2018,385.0,22.0,5.714285714285714
90031,2019,372.0,30.0,8.064516129032258
90031,2020,345.5,35.5,10.274963820549928
90031,2021,300.5,35.5,11.813643926788686
90031,2022,309.5,28.5,9.208400646203554
90032,2018,431.0,38.0,8.816705336426914
90032,2019,470.5,39.5,8.395324123273113
90032,2020,453.5,40.5,8.930540242557882
90032,2021,380.0,28.0,7.368421052631578
90032,2022,404.5,31.5,7.787391841779975
90033,2018,572.0,46.0,8.041958041958042
90033,2019,542.5,40.5,7.465437788018433
90033,2020,469.0,50.0,10.660980810234541
90033,2021,411.5,32.5,7.897934386391252
90033,2022,464.5,41.5,8.934337997847146
90034,2018,626.0,57.0,9.105431309904153
90034,2019,560.0,54.0,9.642857142857144
90034,2020,532.5,36.5,6.854460093896714
90034,2021,447.5,40.5,9.050279329608939
90034,2022,503.0,37.0,7.3558648111332
90035,2018,439.5,24.5,5.5745164960182025
90035,2019,408.0,27.0,6.61764705882353
90035,2020,428.0,34.0,7.943925233644859
