ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,income_distribution,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate,ZIP,road_mean_db,road_n_pixels,rail_mean_db,rail_n_pixels,aviation_mean_db,aviation_n_pixels,combined_noise_mean_db
90001,3936.0,308.0,7.825203252032519,79.58889300298623,1.016898793082242,45.87371070311247,1.3518069337520555,0.8166042322810383,0.9468,0.9871,0.8586,0.9909,0.6483,57652,16284,4295,348,52642,13597,57698.0,13597,4736,57639,5.4,0.3483121276752224,21.13716783459377,90001,54.497989654541016,2466,49.8792839050293,2897,50.035945892333984,7971,56.810581296467994
90002,3839.5,324.5,8.451621304857403,84.28789945185436,1.0104359733521655,44.7937173983572,1.3582134116055224,0.8154269794113795,0.9784,0.9901,0.9554,0.9926,0.7503,53108,12306,8355,611,43766,13013,54221.0,13013,5314,53100,5.1,0.4083608698993314,23.98885290351736,90002,54.974937438964844,1705,49.937339782714844,1749,52.06636428833008,8568,57.588403495615594
90003,5583.5,439.5,7.871406823676905,91.14788489364793,1.117199574586545,45.92741652618997,1.416786540018033,0.8347100970884265,0.9819,0.9924,0.9513,0.9921,0.7833,75024,12889,12352,350,61179,17936,51275.0,17936,4845,75006,4.8,0.2701271186440678,26.84740882917466,90003,58.706932067871094,5136,51.50654602050781,136,52.269535064697266,8854,60.22262752207088
90004,2642.0,211.0,7.986373959121877,87.25532219247842,0.9216457461249248,47.51235065682693,1.2153643401947911,0.5812786499113016,0.9,0.9398,0.4368,0.7972,0.9641,58833,17019,2619,14584,27410,23047,58420.0,23047,3794,58765,26.7,0.1646201240942422,19.24260194108748,90004,56.01415252685547,3026,,0,,0,56.03584524467294
90005,1537.0,140.0,9.108653220559532,83.06200124585338,1.0181200268138508,50.77260847938786,1.3923551044507618,0.7072037827028652,0.8825,0.9082,0.3308,0.9054,0.978,37754,7371,2006,12305,18603,16607,49226.0,16607,1301,37655,26.3,0.0783404588426567,23.58955342480267,90005,53.977970123291016,1021,,0,,0,54.01258679515594
90006,2755.5,211.5,7.675557974959172,85.11008181919985,1.0616636636555916,49.88637524675337,1.328511282365438,0.8100570077573456,0.9708,0.9556,0.6541,0.9524,0.9977,56628,13244,1669,10370,41030,19100,47599.0,19100,2033,56075,16.1,0.1064397905759162,22.764356855265948,90006,54.922332763671875,1601,,0,,0,54.95020595050548
90007,1275.5,123.5,9.682477459819678,92.2271787228805,1.1897530189499947,48.08502108490271,1.4064061828403964,0.7693448089999955,0.9538,0.9953,0.4154,0.8459,0.9774,41004,13360,3535,7733,22109,12520,36326.0,12520,1329,40995,16.0,0.1061501597444089,33.1626182811433,90007,56.8207893371582,3963,51.019344329833984,849,,0,57.841758506316204
90008,1625.5,168.5,10.366041218086744,78.17999133990999,0.8211252082536841,42.24656027343708,1.3771224350731457,0.6654504134744168,0.8175,0.8386,0.7016,0.9518,0.6327,33076,3129,21047,991,8702,14694,57880.0,14694,4632,33053,17.7,0.3152307064107799,18.23981134357238,90008,55.40912628173828,2422,46.89704132080078,15,,0,55.99239640537296
90010,159.5,27.5,17.24137931034483,80.91519798410319,1.018756896896669,50.54657912101194,1.373787032634591,0.6700706044299678,0.4673,0.4667,0.0585,0.8414,0.7283,4185,803,230,2775,329,2381,92454.0,2381,394,4185,37.2,0.1654766904661906,9.84468339307049,90010,56.153465270996094,682,,0,,0,56.17447482719524
90011,6908.5,562.5,8.14214373597742,85.88389724983686,1.0856061920073552,47.515493412413576,1.347554876857635,0.8481245841548956,0.9702,0.9982,0.8841,0.9887,0.7306,106042,25646,6092,660,97669,24399,51819.0,24399,6519,105900,5.0,0.2671830812738227,26.982704965956884,90011,54.17551040649414,3532,48.75794219970703,1991,,0,55.28498221116358
90012,1044.0,104.0,9.961685823754788,94.6329785165443,1.3935942132541963,53.5531782119884,1.6252701198731043,0.6794360659005463,0.8801,0.9275,0.2329,0.8181,0.9971,38430,9227,5071,13807,10575,14945,58444.0,14945,957,29197,24.6,0.064034794245567,18.589643507676296,90012,58.50309753417969,5366,51.97562026977539,5809,,0,59.3804564773301
90013,843.0,132.0,15.658362989323845,86.92536641111286,1.467375923572916,59.31217956520964,2.0055089836402344,0.5739860108025685,0.8649,0.9637,0.2706,0.7303,0.9444,14587,4749,4039,2055,3492,7781,24853.0,7781,625,14583,21.4,0.0803238658270145,45.64338109275382,90013,55.61806869506836,1269,50.72508239746094,1434,,0,56.846317963106316
90014,299.0,77.0,25.75250836120401,85.1753016407394,1.4528505382481682,60.60413152329214,2.072358050811608,0.5994928270700369,0.9187,0.9456,0.5423,0.7331,0.9728,9273,3111,1925,2210,2372,6100,26550.0,6100,212,9255,27.0,0.0347540983606557,35.55483662245228,90014,53.723236083984375,439,49.11618423461914,449,,0,55.02791610001124
90015,1189.5,130.5,10.970996216897856,96.98951097122688,1.4002923068016018,54.62096452310155,1.7054120947747835,0.6598021344817125,0.8374,0.9146,0.2225,0.8584,0.9432,25554,8332,2315,5197,13400,12838,61959.0,12838,1107,25545,30.0,0.0862283844835644,25.354151991860373,90015,58.614044189453125,3352,50.116859436035156,838,,0,59.19344732898584
90016,2437.5,200.5,8.225641025641025,91.2010261030414,0.9613995159258742,46.86813917650528,1.3568896332725688,0.6794165665037005,0.8462,0.8947,0.5927,0.9042,0.7746,47309,14557,13028,2111,25816,17601,63090.0,17601,6403,47255,20.2,0.363786148514289,15.286731911475618,90016,57.37862014770508,4480,50.994327545166016,1007,,0,58.28382998684374
90017,1372.0,142.0,10.349854227405247,92.40433389752609,1.3386196906464125,55.07124843721238,1.6711011583960824,0.7409685844273624,0.9567,0.9608,0.6738,0.8952,0.9676,28754,7518,3699,5062,16444,13564,46626.0,13564,734,28707,21.2,0.0541138307283987,35.598525422549905,90017,56.970481872558594,1068,49.472412109375,231,,0,57.68899227789689
90018,2500.5,204.5,8.178364327134572,88.82568206311537,0.981032302403643,46.366413544105626,1.2581099784142236,0.736569989279187,0.9684,0.948,0.8476,0.9275,0.9554,49898,13547,12125,3110,29284,16339,58987.0,16339,5369,49276,15.5,0.3286002815349776,21.74435849132229,90018,56.936649322509766,3641,51.730873107910156,608,,0,58.08815400377986
90019,2962.5,234.5,7.915611814345993,81.86568455793609,0.9129698476328028,48.01691025186476,1.2940118778354566,0.5706128810670149,0.8924,0.9246,0.4884,0.83,0.938,59410,18118,10624,10302,25847,23576,65972.0,23576,5895,58737,24.3,0.2500424160162877,16.59484935196095,90019,55.66343688964844,3614,,0,,0,55.68694915499731
90020,1578.0,156.0,9.88593155893536,74.1557675644689,1.0276018738207084,50.5833802224092,1.3785468080662635,0.6539345122670404,0.8345,0.8977,0.2451,0.8907,0.9345,38400,7372,2718,17402,12925,17321,55321.0,17321,1630,38396,33.2,0.0941054211650597,17.984375,90020,53.94129180908203,811,,0,,0,53.976200897038694
90021,162.5,49.5,30.461538461538463,93.14531493466622,1.464836757400729,53.74265304998215,1.7557393121650515,0.6097075922502416,0.9491,0.9936,0.3841,0.8068,0.9797,2781,785,595,195,1336,1459,29659.0,1459,100,2781,14.1,0.0685400959561343,40.30924128011507,90021,58.14483642578125,3354,50.17838668823242,2659,,0,58.79409869466077
90022,3638.5,271.5,7.46186615363474,90.350617979353,1.136568128170486,49.20399775610315,1.2883233715969975,0.7415665324539422,0.8947,0.9012,0.8824,0.9824,0.6541,64147,19305,339,723,61873,17165,65142.0,17165,5949,64115,7.5,0.3465773376055928,16.561959249848005,90022,58.041934967041016,5793,48.33831787109375,6430,,0,58.48981058651322
90023,2677.0,212.0,7.919312663429212,97.15702719349844,1.3847426584637563,52.21526273159072,1.4924829993343005,0.7930169048110733,0.9766,0.9784,0.949,0.9813,0.7978,44558,11036,462,438,42657,11750,52918.0,11750,3095,44403,7.7,0.2634042553191489,22.80623008214013,90023,58.151485443115234,6141,50.19611358642578,11220,,0,58.80226427271576
