Model,R²_Score,MAE_pp,RMSE_pp,CV_R²_Mean,CV_R²_Std,Improvement_vs_Baseline,Best_Parameters,Is_Best
Baseline (Insurance only),0.11224039761968196,3.0531574715169745,5.177760521086653,-0.015055351369607384,0.3510786799678286,0.0,LinearRegression(),False
Random Forest,0.32101162243089476,2.401334441380733,4.528198335796857,0.26032453145140017,0.4064058332864782,0.2087712248112128,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 300}",True
XGBoost,0.284729282451919,2.518876802304205,4.64760803088604,0.33403793425788847,0.19772471065089015,0.172488884832237,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",False
Gradient Boosting,0.23528914197150197,2.3912372549198597,4.805547771857747,0.4103399636808562,0.17965195468284723,0.12304874435182,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",False
