Metric,Value
R² Score,0.11224039761968196
MAE (percentage points),3.0531574715169745
RMSE (percentage points),5.177760521086653
5-Fold CV R² Mean,-0.015055351369607384
5-Fold CV R² Std,0.3510786799678286
