Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90013,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90013,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90013,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90013,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90013,2500 - 2999 grams,16,11/10/2025
Birth,2022,Place of Residence,90013,3000 - 3499 grams,32,11/10/2025
Birth,2022,Place of Residence,90013,3500 - 3999 grams,14,11/10/2025
Birth,2022,Place of Residence,90013,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90013,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90090,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90090,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90704,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90704,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90704,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90704,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90704,2500 - 2999 grams,12,11/10/2025
Birth,2022,Place of Residence,90704,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90704,3500 - 3999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90704,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90704,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90802,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90802,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90802,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90802,2000 - 2499 grams,20,11/10/2025
Birth,2022,Place of Residence,90802,2500 - 2999 grams,71,11/10/2025
