Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90071,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90071,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90071,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90071,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90071,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90071,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90071,3500 - 3999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90071,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90071,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90073,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90073,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90077,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90077,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90077,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90077,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90077,2500 - 2999 grams,11,11/10/2025
Birth,2022,Place of Residence,90077,3000 - 3499 grams,27,11/10/2025
Birth,2022,Place of Residence,90077,3500 - 3999 grams,18,11/10/2025
Birth,2022,Place of Residence,90077,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90077,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90089,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90089,3500 - 3999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90089,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90089,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90094,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90094,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90094,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90094,2000 - 2499 grams,11,11/10/2025
Birth,2022,Place of Residence,90094,2500 - 2999 grams,32,11/10/2025
Birth,2022,Place of Residence,90094,3000 - 3499 grams,47,11/10/2025
Birth,2022,Place of Residence,90094,3500 - 3999 grams,52,11/10/2025
Birth,2022,Place of Residence,90094,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90094,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90095,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90095,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90201,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90201,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90201,1500 - 1999 grams,16,11/10/2025
Birth,2022,Place of Residence,90201,2000 - 2499 grams,48,11/10/2025
Birth,2022,Place of Residence,90201,2500 - 2999 grams,195,11/10/2025
Birth,2022,Place of Residence,90201,3000 - 3499 grams,416,11/10/2025
Birth,2022,Place of Residence,90201,3500 - 3999 grams,272,11/10/2025
Birth,2022,Place of Residence,90201,4000 - 5999 grams,73,11/10/2025
Birth,2022,Place of Residence,90201,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90210,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90210,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90210,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90210,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90210,2500 - 2999 grams,27,11/10/2025
Birth,2022,Place of Residence,90210,3000 - 3499 grams,57,11/10/2025
