Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90220,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90220,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90220,1500 - 1999 grams,17,11/10/2025
Birth,2022,Place of Residence,90220,2000 - 2499 grams,30,11/10/2025
Birth,2022,Place of Residence,90220,2500 - 2999 grams,131,11/10/2025
Birth,2022,Place of Residence,90220,3000 - 3499 grams,238,11/10/2025
Birth,2022,Place of Residence,90220,3500 - 3999 grams,126,11/10/2025
Birth,2022,Place of Residence,90220,4000 - 5999 grams,46,11/10/2025
Birth,2022,Place of Residence,90220,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90221,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90221,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90221,1500 - 1999 grams,11,11/10/2025
Birth,2022,Place of Residence,90221,2000 - 2499 grams,26,11/10/2025
Birth,2022,Place of Residence,90221,2500 - 2999 grams,128,11/10/2025
Birth,2022,Place of Residence,90221,3000 - 3499 grams,287,11/10/2025
Birth,2022,Place of Residence,90221,3500 - 3999 grams,184,11/10/2025
Birth,2022,Place of Residence,90221,4000 - 5999 grams,51,11/10/2025
Birth,2022,Place of Residence,90221,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90222,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90222,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90222,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90222,2000 - 2499 grams,19,11/10/2025
Birth,2022,Place of Residence,90222,2500 - 2999 grams,94,11/10/2025
Birth,2022,Place of Residence,90222,3000 - 3499 grams,167,11/10/2025
Birth,2022,Place of Residence,90222,3500 - 3999 grams,119,11/10/2025
Birth,2022,Place of Residence,90222,4000 - 5999 grams,32,11/10/2025
Birth,2022,Place of Residence,90222,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90230,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90230,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90230,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90230,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,90230,2500 - 2999 grams,66,11/10/2025
Birth,2022,Place of Residence,90230,3000 - 3499 grams,104,11/10/2025
Birth,2022,Place of Residence,90230,3500 - 3999 grams,63,11/10/2025
Birth,2022,Place of Residence,90230,4000 - 5999 grams,22,11/10/2025
Birth,2022,Place of Residence,90230,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90232,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90232,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90232,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90232,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90232,2500 - 2999 grams,28,11/10/2025
Birth,2022,Place of Residence,90232,3000 - 3499 grams,45,11/10/2025
Birth,2022,Place of Residence,90232,3500 - 3999 grams,42,11/10/2025
Birth,2022,Place of Residence,90232,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90232,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90401,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90401,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90401,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90401,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90401,2500 - 2999 grams,12,11/10/2025
Birth,2022,Place of Residence,90401,3000 - 3499 grams,19,11/10/2025
Birth,2022,Place of Residence,90401,3500 - 3999 grams,13,11/10/2025
Birth,2022,Place of Residence,90401,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90401,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90402,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90402,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90402,1500 - 1999 grams,0,11/10/2025
