Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91401,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91401,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91401,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91401,2000 - 2499 grams,12,11/10/2025
Birth,2022,Place of Residence,91401,2500 - 2999 grams,74,11/10/2025
Birth,2022,Place of Residence,91401,3000 - 3499 grams,150,11/10/2025
Birth,2022,Place of Residence,91401,3500 - 3999 grams,86,11/10/2025
Birth,2022,Place of Residence,91401,4000 - 5999 grams,26,11/10/2025
Birth,2022,Place of Residence,91401,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91402,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91402,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91402,1500 - 1999 grams,13,11/10/2025
Birth,2022,Place of Residence,91402,2000 - 2499 grams,59,11/10/2025
Birth,2022,Place of Residence,91402,2500 - 2999 grams,138,11/10/2025
Birth,2022,Place of Residence,91402,3000 - 3499 grams,326,11/10/2025
Birth,2022,Place of Residence,91402,3500 - 3999 grams,186,11/10/2025
Birth,2022,Place of Residence,91402,4000 - 5999 grams,43,11/10/2025
Birth,2022,Place of Residence,91402,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91403,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91403,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91403,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91403,2000 - 2499 grams,13,11/10/2025
Birth,2022,Place of Residence,91403,2500 - 2999 grams,64,11/10/2025
Birth,2022,Place of Residence,91403,3000 - 3499 grams,112,11/10/2025
Birth,2022,Place of Residence,91403,3500 - 3999 grams,67,11/10/2025
Birth,2022,Place of Residence,91403,4000 - 5999 grams,15,11/10/2025
Birth,2022,Place of Residence,91403,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91405,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91405,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91405,1500 - 1999 grams,11,11/10/2025
Birth,2022,Place of Residence,91405,2000 - 2499 grams,32,11/10/2025
Birth,2022,Place of Residence,91405,2500 - 2999 grams,138,11/10/2025
Birth,2022,Place of Residence,91405,3000 - 3499 grams,239,11/10/2025
Birth,2022,Place of Residence,91405,3500 - 3999 grams,151,11/10/2025
Birth,2022,Place of Residence,91405,4000 - 5999 grams,35,11/10/2025
Birth,2022,Place of Residence,91405,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91406,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91406,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91406,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91406,2000 - 2499 grams,25,11/10/2025
Birth,2022,Place of Residence,91406,2500 - 2999 grams,129,11/10/2025
Birth,2022,Place of Residence,91406,3000 - 3499 grams,249,11/10/2025
Birth,2022,Place of Residence,91406,3500 - 3999 grams,136,11/10/2025
Birth,2022,Place of Residence,91406,4000 - 5999 grams,38,11/10/2025
Birth,2022,Place of Residence,91406,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91411,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91411,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91411,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91411,2000 - 2499 grams,12,11/10/2025
