Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91702,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91702,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91702,1500 - 1999 grams,13,11/10/2025
Birth,2022,Place of Residence,91702,2000 - 2499 grams,30,11/10/2025
Birth,2022,Place of Residence,91702,2500 - 2999 grams,128,11/10/2025
Birth,2022,Place of Residence,91702,3000 - 3499 grams,262,11/10/2025
Birth,2022,Place of Residence,91702,3500 - 3999 grams,165,11/10/2025
Birth,2022,Place of Residence,91702,4000 - 5999 grams,34,11/10/2025
Birth,2022,Place of Residence,91702,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91706,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91706,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91706,1500 - 1999 grams,14,11/10/2025
Birth,2022,Place of Residence,91706,2000 - 2499 grams,36,11/10/2025
Birth,2022,Place of Residence,91706,2500 - 2999 grams,161,11/10/2025
Birth,2022,Place of Residence,91706,3000 - 3499 grams,288,11/10/2025
Birth,2022,Place of Residence,91706,3500 - 3999 grams,164,11/10/2025
Birth,2022,Place of Residence,91706,4000 - 5999 grams,42,11/10/2025
Birth,2022,Place of Residence,91706,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91709,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91709,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91709,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91709,2000 - 2499 grams,39,11/10/2025
Birth,2022,Place of Residence,91709,2500 - 2999 grams,131,11/10/2025
Birth,2022,Place of Residence,91709,3000 - 3499 grams,309,11/10/2025
Birth,2022,Place of Residence,91709,3500 - 3999 grams,129,11/10/2025
Birth,2022,Place of Residence,91709,4000 - 5999 grams,35,11/10/2025
Birth,2022,Place of Residence,91709,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91711,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91711,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91711,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91711,2000 - 2499 grams,12,11/10/2025
Birth,2022,Place of Residence,91711,2500 - 2999 grams,44,11/10/2025
Birth,2022,Place of Residence,91711,3000 - 3499 grams,98,11/10/2025
Birth,2022,Place of Residence,91711,3500 - 3999 grams,52,11/10/2025
Birth,2022,Place of Residence,91711,4000 - 5999 grams,15,11/10/2025
Birth,2022,Place of Residence,91711,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91722,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91722,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91722,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91722,2000 - 2499 grams,18,11/10/2025
Birth,2022,Place of Residence,91722,2500 - 2999 grams,67,11/10/2025
Birth,2022,Place of Residence,91722,3000 - 3499 grams,146,11/10/2025
Birth,2022,Place of Residence,91722,3500 - 3999 grams,83,11/10/2025
Birth,2022,Place of Residence,91722,4000 - 5999 grams,23,11/10/2025
Birth,2022,Place of Residence,91722,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91723,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91723,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91723,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91723,2000 - 2499 grams,12,11/10/2025
Birth,2022,Place of Residence,91723,2500 - 2999 grams,32,11/10/2025
Birth,2022,Place of Residence,91723,3000 - 3499 grams,94,11/10/2025
Birth,2022,Place of Residence,91723,3500 - 3999 grams,45,11/10/2025
Birth,2022,Place of Residence,91723,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91723,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91724,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91724,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91724,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91724,2000 - 2499 grams,17,11/10/2025
Birth,2022,Place of Residence,91724,2500 - 2999 grams,39,11/10/2025
Birth,2022,Place of Residence,91724,3000 - 3499 grams,108,11/10/2025
Birth,2022,Place of Residence,91724,3500 - 3999 grams,63,11/10/2025
Birth,2022,Place of Residence,91724,4000 - 5999 grams,13,11/10/2025
Birth,2022,Place of Residence,91724,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91731,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91731,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91731,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,91731,2000 - 2499 grams,18,11/10/2025
Birth,2022,Place of Residence,91731,2500 - 2999 grams,52,11/10/2025
Birth,2022,Place of Residence,91731,3000 - 3499 grams,111,11/10/2025
Birth,2022,Place of Residence,91731,3500 - 3999 grams,55,11/10/2025
Birth,2022,Place of Residence,91731,4000 - 5999 grams,23,11/10/2025
Birth,2022,Place of Residence,91731,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91732,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91732,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91732,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91732,2000 - 2499 grams,29,11/10/2025
Birth,2022,Place of Residence,91732,2500 - 2999 grams,125,11/10/2025
Birth,2022,Place of Residence,91732,3000 - 3499 grams,228,11/10/2025
Birth,2022,Place of Residence,91732,3500 - 3999 grams,148,11/10/2025
Birth,2022,Place of Residence,91732,4000 - 5999 grams,29,11/10/2025
Birth,2022,Place of Residence,91732,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91733,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91733,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91733,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91733,2000 - 2499 grams,21,11/10/2025
Birth,2022,Place of Residence,91733,2500 - 2999 grams,92,11/10/2025
Birth,2022,Place of Residence,91733,3000 - 3499 grams,168,11/10/2025
Birth,2022,Place of Residence,91733,3500 - 3999 grams,111,11/10/2025
Birth,2022,Place of Residence,91733,4000 - 5999 grams,25,11/10/2025
Birth,2022,Place of Residence,91733,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91702,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91702,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91702,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91702,2000 - 2499 grams,25,11/10/2025
Birth,2021,Place of Residence,91702,2500 - 2999 grams,135,11/10/2025
Birth,2021,Place of Residence,91702,3000 - 3499 grams,279,11/10/2025
Birth,2021,Place of Residence,91702,3500 - 3999 grams,128,11/10/2025
Birth,2021,Place of Residence,91702,4000 - 5999 grams,35,11/10/2025
Birth,2021,Place of Residence,91702,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91706,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91706,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91706,1500 - 1999 grams,14,11/10/2025
Birth,2021,Place of Residence,91706,2000 - 2499 grams,46,11/10/2025
Birth,2021,Place of Residence,91706,2500 - 2999 grams,154,11/10/2025
Birth,2021,Place of Residence,91706,3000 - 3499 grams,328,11/10/2025
Birth,2021,Place of Residence,91706,3500 - 3999 grams,194,11/10/2025
Birth,2021,Place of Residence,91706,4000 - 5999 grams,49,11/10/2025
Birth,2021,Place of Residence,91706,Unreliable/Unknown,<11,11/10/2025
Birth,2021,Place of Residence,91709,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91709,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91709,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91709,2000 - 2499 grams,37,11/10/2025
Birth,2021,Place of Residence,91709,2500 - 2999 grams,152,11/10/2025
