Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91361,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91361,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91361,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91361,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91361,2500 - 2999 grams,22,11/10/2025
Birth,2022,Place of Residence,91361,3000 - 3499 grams,56,11/10/2025
Birth,2022,Place of Residence,91361,3500 - 3999 grams,32,11/10/2025
Birth,2022,Place of Residence,91361,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91361,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91362,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91362,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91362,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91362,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91362,2500 - 2999 grams,51,11/10/2025
Birth,2022,Place of Residence,91362,3000 - 3499 grams,98,11/10/2025
Birth,2022,Place of Residence,91362,3500 - 3999 grams,64,11/10/2025
Birth,2022,Place of Residence,91362,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,91362,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91364,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91364,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91364,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91364,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,91364,2500 - 2999 grams,41,11/10/2025
Birth,2022,Place of Residence,91364,3000 - 3499 grams,94,11/10/2025
Birth,2022,Place of Residence,91364,3500 - 3999 grams,66,11/10/2025
Birth,2022,Place of Residence,91364,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,91364,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91367,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91367,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91367,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91367,2000 - 2499 grams,25,11/10/2025
Birth,2022,Place of Residence,91367,2500 - 2999 grams,102,11/10/2025
Birth,2022,Place of Residence,91367,3000 - 3499 grams,188,11/10/2025
Birth,2022,Place of Residence,91367,3500 - 3999 grams,126,11/10/2025
Birth,2022,Place of Residence,91367,4000 - 5999 grams,21,11/10/2025
Birth,2022,Place of Residence,91367,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91381,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91381,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91381,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91381,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91381,2500 - 2999 grams,37,11/10/2025
Birth,2022,Place of Residence,91381,3000 - 3499 grams,74,11/10/2025
Birth,2022,Place of Residence,91381,3500 - 3999 grams,55,11/10/2025
Birth,2022,Place of Residence,91381,4000 - 5999 grams,11,11/10/2025
Birth,2022,Place of Residence,91381,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91382,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,91382,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91384,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91384,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91384,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91384,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91384,2500 - 2999 grams,44,11/10/2025
Birth,2022,Place of Residence,91384,3000 - 3499 grams,79,11/10/2025
Birth,2022,Place of Residence,91384,3500 - 3999 grams,67,11/10/2025
Birth,2022,Place of Residence,91384,4000 - 5999 grams,15,11/10/2025
Birth,2022,Place of Residence,91384,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91387,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91387,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91387,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91387,2000 - 2499 grams,20,11/10/2025
Birth,2022,Place of Residence,91387,2500 - 2999 grams,100,11/10/2025
Birth,2022,Place of Residence,91387,3000 - 3499 grams,219,11/10/2025
Birth,2022,Place of Residence,91387,3500 - 3999 grams,124,11/10/2025
Birth,2022,Place of Residence,91387,4000 - 5999 grams,37,11/10/2025
Birth,2022,Place of Residence,91387,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91390,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91390,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91390,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91390,2000 - 2499 grams,<11,11/10/2025
