Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91001,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91001,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91001,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91001,2000 - 2499 grams,11,11/10/2025
Birth,2022,Place of Residence,91001,2500 - 2999 grams,57,11/10/2025
Birth,2022,Place of Residence,91001,3000 - 3499 grams,110,11/10/2025
Birth,2022,Place of Residence,91001,3500 - 3999 grams,77,11/10/2025
Birth,2022,Place of Residence,91001,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,91001,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91006,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91006,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91006,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91006,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91006,2500 - 2999 grams,50,11/10/2025
Birth,2022,Place of Residence,91006,3000 - 3499 grams,104,11/10/2025
Birth,2022,Place of Residence,91006,3500 - 3999 grams,58,11/10/2025
Birth,2022,Place of Residence,91006,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91006,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91007,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91007,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91007,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91007,2000 - 2499 grams,19,11/10/2025
Birth,2022,Place of Residence,91007,2500 - 2999 grams,66,11/10/2025
Birth,2022,Place of Residence,91007,3000 - 3499 grams,111,11/10/2025
Birth,2022,Place of Residence,91007,3500 - 3999 grams,68,11/10/2025
Birth,2022,Place of Residence,91007,4000 - 5999 grams,12,11/10/2025
Birth,2022,Place of Residence,91007,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91008,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91008,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91008,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,91008,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,91008,2500 - 2999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91008,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91008,3500 - 3999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91008,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91008,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91010,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91010,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91010,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,91010,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91010,2500 - 2999 grams,52,11/10/2025
Birth,2022,Place of Residence,91010,3000 - 3499 grams,100,11/10/2025
Birth,2022,Place of Residence,91010,3500 - 3999 grams,55,11/10/2025
Birth,2022,Place of Residence,91010,4000 - 5999 grams,20,11/10/2025
Birth,2022,Place of Residence,91010,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91011,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91011,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91011,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91011,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91011,2500 - 2999 grams,29,11/10/2025
Birth,2022,Place of Residence,91011,3000 - 3499 grams,48,11/10/2025
Birth,2022,Place of Residence,91011,3500 - 3999 grams,29,11/10/2025
Birth,2022,Place of Residence,91011,4000 - 5999 grams,<11,11/10/2025
