Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90701,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90701,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90701,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90701,2000 - 2499 grams,11,11/10/2025
Birth,2022,Place of Residence,90701,2500 - 2999 grams,37,11/10/2025
Birth,2022,Place of Residence,90701,3000 - 3499 grams,57,11/10/2025
Birth,2022,Place of Residence,90701,3500 - 3999 grams,37,11/10/2025
Birth,2022,Place of Residence,90701,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90701,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90703,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90703,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90703,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90703,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,90703,2500 - 2999 grams,70,11/10/2025
Birth,2022,Place of Residence,90703,3000 - 3499 grams,114,11/10/2025
Birth,2022,Place of Residence,90703,3500 - 3999 grams,65,11/10/2025
Birth,2022,Place of Residence,90703,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,90703,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90706,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90706,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90706,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90706,2000 - 2499 grams,38,11/10/2025
Birth,2022,Place of Residence,90706,2500 - 2999 grams,164,11/10/2025
Birth,2022,Place of Residence,90706,3000 - 3499 grams,306,11/10/2025
Birth,2022,Place of Residence,90706,3500 - 3999 grams,226,11/10/2025
Birth,2022,Place of Residence,90706,4000 - 5999 grams,67,11/10/2025
Birth,2022,Place of Residence,90706,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90710,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90710,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90710,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90710,2000 - 2499 grams,13,11/10/2025
Birth,2022,Place of Residence,90710,2500 - 2999 grams,58,11/10/2025
Birth,2022,Place of Residence,90710,3000 - 3499 grams,87,11/10/2025
Birth,2022,Place of Residence,90710,3500 - 3999 grams,61,11/10/2025
Birth,2022,Place of Residence,90710,4000 - 5999 grams,18,11/10/2025
Birth,2022,Place of Residence,90710,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90712,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90712,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90712,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90712,2000 - 2499 grams,13,11/10/2025
Birth,2022,Place of Residence,90712,2500 - 2999 grams,66,11/10/2025
Birth,2022,Place of Residence,90712,3000 - 3499 grams,130,11/10/2025
Birth,2022,Place of Residence,90712,3500 - 3999 grams,95,11/10/2025
Birth,2022,Place of Residence,90712,4000 - 5999 grams,19,11/10/2025
Birth,2022,Place of Residence,90712,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90713,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90713,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90713,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90713,2000 - 2499 grams,23,11/10/2025
Birth,2022,Place of Residence,90713,2500 - 2999 grams,61,11/10/2025
Birth,2022,Place of Residence,90713,3000 - 3499 grams,103,11/10/2025
Birth,2022,Place of Residence,90713,3500 - 3999 grams,79,11/10/2025
Birth,2022,Place of Residence,90713,4000 - 5999 grams,27,11/10/2025
Birth,2022,Place of Residence,90713,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90714,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90714,3500 - 3999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90714,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90714,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90715,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90715,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90715,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90715,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,90715,2500 - 2999 grams,41,11/10/2025
Birth,2022,Place of Residence,90715,3000 - 3499 grams,82,11/10/2025
Birth,2022,Place of Residence,90715,3500 - 3999 grams,44,11/10/2025
Birth,2022,Place of Residence,90715,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,90715,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90716,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90716,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90716,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90716,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90716,2500 - 2999 grams,27,11/10/2025
Birth,2022,Place of Residence,90716,3000 - 3499 grams,53,11/10/2025
Birth,2022,Place of Residence,90716,3500 - 3999 grams,44,11/10/2025
Birth,2022,Place of Residence,90716,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,90716,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90717,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90717,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90717,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90717,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90717,2500 - 2999 grams,59,11/10/2025
Birth,2022,Place of Residence,90717,3000 - 3499 grams,93,11/10/2025
Birth,2022,Place of Residence,90717,3500 - 3999 grams,51,11/10/2025
Birth,2022,Place of Residence,90717,4000 - 5999 grams,21,11/10/2025
Birth,2022,Place of Residence,90717,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90723,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90723,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90723,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90723,2000 - 2499 grams,23,11/10/2025
Birth,2022,Place of Residence,90723,2500 - 2999 grams,99,11/10/2025
Birth,2022,Place of Residence,90723,3000 - 3499 grams,255,11/10/2025
