Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90813,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90813,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90813,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90813,2000 - 2499 grams,34,11/10/2025
Birth,2022,Place of Residence,90813,2500 - 2999 grams,141,11/10/2025
Birth,2022,Place of Residence,90813,3000 - 3499 grams,227,11/10/2025
Birth,2022,Place of Residence,90813,3500 - 3999 grams,151,11/10/2025
Birth,2022,Place of Residence,90813,4000 - 5999 grams,32,11/10/2025
Birth,2022,Place of Residence,90813,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90814,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90814,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90814,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90814,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90814,2500 - 2999 grams,36,11/10/2025
Birth,2022,Place of Residence,90814,3000 - 3499 grams,59,11/10/2025
Birth,2022,Place of Residence,90814,3500 - 3999 grams,52,11/10/2025
Birth,2022,Place of Residence,90814,4000 - 5999 grams,16,11/10/2025
Birth,2022,Place of Residence,90814,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90815,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90815,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90815,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90815,2000 - 2499 grams,16,11/10/2025
Birth,2022,Place of Residence,90815,2500 - 2999 grams,81,11/10/2025
Birth,2022,Place of Residence,90815,3000 - 3499 grams,141,11/10/2025
Birth,2022,Place of Residence,90815,3500 - 3999 grams,110,11/10/2025
Birth,2022,Place of Residence,90815,4000 - 5999 grams,29,11/10/2025
Birth,2022,Place of Residence,90815,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90822,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90822,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90831,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90831,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90840,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90840,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90846,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90846,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90813,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90813,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90813,1500 - 1999 grams,12,11/10/2025
Birth,2021,Place of Residence,90813,2000 - 2499 grams,41,11/10/2025
Birth,2021,Place of Residence,90813,2500 - 2999 grams,143,11/10/2025
Birth,2021,Place of Residence,90813,3000 - 3499 grams,247,11/10/2025
Birth,2021,Place of Residence,90813,3500 - 3999 grams,168,11/10/2025
Birth,2021,Place of Residence,90813,4000 - 5999 grams,46,11/10/2025
Birth,2021,Place of Residence,90813,Unreliable/Unknown,<11,11/10/2025
Birth,2021,Place of Residence,90814,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90814,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90814,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90814,2000 - 2499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90814,2500 - 2999 grams,35,11/10/2025
Birth,2021,Place of Residence,90814,3000 - 3499 grams,64,11/10/2025
Birth,2021,Place of Residence,90814,3500 - 3999 grams,46,11/10/2025
Birth,2021,Place of Residence,90814,4000 - 5999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90814,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90815,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90815,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90815,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90815,2000 - 2499 grams,21,11/10/2025
Birth,2021,Place of Residence,90815,2500 - 2999 grams,65,11/10/2025
Birth,2021,Place of Residence,90815,3000 - 3499 grams,143,11/10/2025
Birth,2021,Place of Residence,90815,3500 - 3999 grams,96,11/10/2025
Birth,2021,Place of Residence,90815,4000 - 5999 grams,36,11/10/2025
Birth,2021,Place of Residence,90815,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90822,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,3000 - 3499 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,3500 - 3999 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,90822,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90831,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,3000 - 3499 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,3500 - 3999 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,90831,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90840,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,3000 - 3499 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,3500 - 3999 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,90840,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90846,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,3000 - 3499 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,3500 - 3999 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,90846,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90813,500 - 999 grams,<11,11/10/2025
Birth,2020,Place of Residence,90813,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,90813,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,90813,2000 - 2499 grams,38,11/10/2025
Birth,2020,Place of Residence,90813,2500 - 2999 grams,138,11/10/2025
Birth,2020,Place of Residence,90813,3000 - 3499 grams,261,11/10/2025
Birth,2020,Place of Residence,90813,3500 - 3999 grams,190,11/10/2025
Birth,2020,Place of Residence,90813,4000 - 5999 grams,54,11/10/2025
Birth,2020,Place of Residence,90813,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90814,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,90814,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,90814,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,90814,2000 - 2499 grams,<11,11/10/2025
Birth,2020,Place of Residence,90814,2500 - 2999 grams,20,11/10/2025
Birth,2020,Place of Residence,90814,3000 - 3499 grams,79,11/10/2025
Birth,2020,Place of Residence,90814,3500 - 3999 grams,48,11/10/2025
Birth,2020,Place of Residence,90814,4000 - 5999 grams,13,11/10/2025
Birth,2020,Place of Residence,90814,Unreliable/Unknown,<11,11/10/2025
Birth,2020,Place of Residence,90815,500 - 999 grams,<11,11/10/2025
Birth,2020,Place of Residence,90815,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,90815,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,90815,2000 - 2499 grams,14,11/10/2025
Birth,2020,Place of Residence,90815,2500 - 2999 grams,74,11/10/2025
Birth,2020,Place of Residence,90815,3000 - 3499 grams,105,11/10/2025
Birth,2020,Place of Residence,90815,3500 - 3999 grams,102,11/10/2025
Birth,2020,Place of Residence,90815,4000 - 5999 grams,27,11/10/2025
Birth,2020,Place of Residence,90815,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90822,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,2000 - 2499 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,2500 - 2999 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,3000 - 3499 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,3500 - 3999 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,4000 - 5999 grams,0,11/10/2025
Birth,2020,Place of Residence,90822,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90831,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,2000 - 2499 grams,<11,11/10/2025
Birth,2020,Place of Residence,90831,2500 - 2999 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,3000 - 3499 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,3500 - 3999 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,4000 - 5999 grams,0,11/10/2025
Birth,2020,Place of Residence,90831,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90840,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,2000 - 2499 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,2500 - 2999 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,3000 - 3499 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,3500 - 3999 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,4000 - 5999 grams,0,11/10/2025
Birth,2020,Place of Residence,90840,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,90846,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,2000 - 2499 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,2500 - 2999 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,3000 - 3499 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,3500 - 3999 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,4000 - 5999 grams,0,11/10/2025
Birth,2020,Place of Residence,90846,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,90813,500 - 999 grams,<11,11/10/2025
Birth,2019,Place of Residence,90813,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,90813,1500 - 1999 grams,15,11/10/2025
Birth,2019,Place of Residence,90813,2000 - 2499 grams,32,11/10/2025
Birth,2019,Place of Residence,90813,2500 - 2999 grams,125,11/10/2025
Birth,2019,Place of Residence,90813,3000 - 3499 grams,289,11/10/2025
Birth,2019,Place of Residence,90813,3500 - 3999 grams,192,11/10/2025
Birth,2019,Place of Residence,90813,4000 - 5999 grams,54,11/10/2025
Birth,2019,Place of Residence,90813,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,90814,500 - 999 grams,<11,11/10/2025
Birth,2019,Place of Residence,90814,1000 - 1499 grams,0,11/10/2025
Birth,2019,Place of Residence,90814,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,90814,2000 - 2499 grams,<11,11/10/2025
Birth,2019,Place of Residence,90814,2500 - 2999 grams,32,11/10/2025
Birth,2019,Place of Residence,90814,3000 - 3499 grams,79,11/10/2025
Birth,2019,Place of Residence,90814,3500 - 3999 grams,54,11/10/2025
Birth,2019,Place of Residence,90814,4000 - 5999 grams,20,11/10/2025
Birth,2019,Place of Residence,90814,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,90815,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,90815,1000 - 1499 grams,<11,11/10/2025
