Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90501,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90501,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90501,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90501,2000 - 2499 grams,21,11/10/2025
Birth,2022,Place of Residence,90501,2500 - 2999 grams,93,11/10/2025
Birth,2022,Place of Residence,90501,3000 - 3499 grams,171,11/10/2025
Birth,2022,Place of Residence,90501,3500 - 3999 grams,128,11/10/2025
Birth,2022,Place of Residence,90501,4000 - 5999 grams,40,11/10/2025
Birth,2022,Place of Residence,90501,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90502,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90502,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90502,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90502,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90502,2500 - 2999 grams,35,11/10/2025
Birth,2022,Place of Residence,90502,3000 - 3499 grams,65,11/10/2025
Birth,2022,Place of Residence,90502,3500 - 3999 grams,32,11/10/2025
Birth,2022,Place of Residence,90502,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90502,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90503,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90503,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90503,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90503,2000 - 2499 grams,14,11/10/2025
Birth,2022,Place of Residence,90503,2500 - 2999 grams,88,11/10/2025
Birth,2022,Place of Residence,90503,3000 - 3499 grams,159,11/10/2025
Birth,2022,Place of Residence,90503,3500 - 3999 grams,96,11/10/2025
Birth,2022,Place of Residence,90503,4000 - 5999 grams,21,11/10/2025
Birth,2022,Place of Residence,90503,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90504,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90504,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90504,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90504,2000 - 2499 grams,13,11/10/2025
Birth,2022,Place of Residence,90504,2500 - 2999 grams,59,11/10/2025
Birth,2022,Place of Residence,90504,3000 - 3499 grams,106,11/10/2025
Birth,2022,Place of Residence,90504,3500 - 3999 grams,62,11/10/2025
Birth,2022,Place of Residence,90504,4000 - 5999 grams,18,11/10/2025
Birth,2022,Place of Residence,90504,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90505,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90505,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90505,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90505,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90505,2500 - 2999 grams,73,11/10/2025
Birth,2022,Place of Residence,90505,3000 - 3499 grams,123,11/10/2025
Birth,2022,Place of Residence,90505,3500 - 3999 grams,82,11/10/2025
Birth,2022,Place of Residence,90505,4000 - 5999 grams,16,11/10/2025
Birth,2022,Place of Residence,90505,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90506,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,3000 - 3499 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90506,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90601,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90601,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90601,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90601,2000 - 2499 grams,29,11/10/2025
Birth,2022,Place of Residence,90601,2500 - 2999 grams,64,11/10/2025
Birth,2022,Place of Residence,90601,3000 - 3499 grams,111,11/10/2025
Birth,2022,Place of Residence,90601,3500 - 3999 grams,77,11/10/2025
