Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91335,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91335,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91335,1500 - 1999 grams,17,11/10/2025
Birth,2022,Place of Residence,91335,2000 - 2499 grams,41,11/10/2025
Birth,2022,Place of Residence,91335,2500 - 2999 grams,175,11/10/2025
Birth,2022,Place of Residence,91335,3000 - 3499 grams,318,11/10/2025
Birth,2022,Place of Residence,91335,3500 - 3999 grams,194,11/10/2025
Birth,2022,Place of Residence,91335,4000 - 5999 grams,47,11/10/2025
Birth,2022,Place of Residence,91335,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91340,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91340,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91340,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91340,2000 - 2499 grams,19,11/10/2025
Birth,2022,Place of Residence,91340,2500 - 2999 grams,73,11/10/2025
Birth,2022,Place of Residence,91340,3000 - 3499 grams,163,11/10/2025
Birth,2022,Place of Residence,91340,3500 - 3999 grams,99,11/10/2025
Birth,2022,Place of Residence,91340,4000 - 5999 grams,29,11/10/2025
Birth,2022,Place of Residence,91340,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91342,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91342,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91342,1500 - 1999 grams,21,11/10/2025
Birth,2022,Place of Residence,91342,2000 - 2499 grams,54,11/10/2025
Birth,2022,Place of Residence,91342,2500 - 2999 grams,189,11/10/2025
Birth,2022,Place of Residence,91342,3000 - 3499 grams,388,11/10/2025
Birth,2022,Place of Residence,91342,3500 - 3999 grams,282,11/10/2025
Birth,2022,Place of Residence,91342,4000 - 5999 grams,90,11/10/2025
Birth,2022,Place of Residence,91342,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91343,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91343,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91343,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91343,2000 - 2499 grams,34,11/10/2025
Birth,2022,Place of Residence,91343,2500 - 2999 grams,145,11/10/2025
Birth,2022,Place of Residence,91343,3000 - 3499 grams,250,11/10/2025
Birth,2022,Place of Residence,91343,3500 - 3999 grams,152,11/10/2025
Birth,2022,Place of Residence,91343,4000 - 5999 grams,26,11/10/2025
Birth,2022,Place of Residence,91343,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91344,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91344,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91344,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91344,2000 - 2499 grams,29,11/10/2025
Birth,2022,Place of Residence,91344,2500 - 2999 grams,92,11/10/2025
Birth,2022,Place of Residence,91344,3000 - 3499 grams,174,11/10/2025
Birth,2022,Place of Residence,91344,3500 - 3999 grams,124,11/10/2025
Birth,2022,Place of Residence,91344,4000 - 5999 grams,33,11/10/2025
Birth,2022,Place of Residence,91344,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91345,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91345,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91345,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91345,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91345,2500 - 2999 grams,40,11/10/2025
Birth,2022,Place of Residence,91345,3000 - 3499 grams,84,11/10/2025
Birth,2022,Place of Residence,91345,3500 - 3999 grams,37,11/10/2025
Birth,2022,Place of Residence,91345,4000 - 5999 grams,12,11/10/2025
Birth,2022,Place of Residence,91345,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91350,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91350,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91350,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91350,2000 - 2499 grams,32,11/10/2025
Birth,2022,Place of Residence,91350,2500 - 2999 grams,84,11/10/2025
Birth,2022,Place of Residence,91350,3000 - 3499 grams,202,11/10/2025
Birth,2022,Place of Residence,91350,3500 - 3999 grams,127,11/10/2025
Birth,2022,Place of Residence,91350,4000 - 5999 grams,47,11/10/2025
Birth,2022,Place of Residence,91350,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91351,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91351,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91351,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91351,2000 - 2499 grams,14,11/10/2025
Birth,2022,Place of Residence,91351,2500 - 2999 grams,79,11/10/2025
Birth,2022,Place of Residence,91351,3000 - 3499 grams,138,11/10/2025
Birth,2022,Place of Residence,91351,3500 - 3999 grams,104,11/10/2025
Birth,2022,Place of Residence,91351,4000 - 5999 grams,23,11/10/2025
Birth,2022,Place of Residence,91351,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91352,500 - 999 grams,<11,11/10/2025
