Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2020,Place of Residence,91101,3000 - 3499 grams,95,11/10/2025
Birth,2020,Place of Residence,91101,3500 - 3999 grams,53,11/10/2025
Birth,2020,Place of Residence,91101,4000 - 5999 grams,11,11/10/2025
Birth,2020,Place of Residence,91101,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,91103,500 - 999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91103,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91103,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91103,2000 - 2499 grams,14,11/10/2025
Birth,2020,Place of Residence,91103,2500 - 2999 grams,58,11/10/2025
Birth,2020,Place of Residence,91103,3000 - 3499 grams,102,11/10/2025
Birth,2020,Place of Residence,91103,3500 - 3999 grams,78,11/10/2025
Birth,2020,Place of Residence,91103,4000 - 5999 grams,22,11/10/2025
Birth,2020,Place of Residence,91103,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,91104,500 - 999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91104,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91104,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91104,2000 - 2499 grams,12,11/10/2025
Birth,2020,Place of Residence,91104,2500 - 2999 grams,55,11/10/2025
Birth,2020,Place of Residence,91104,3000 - 3499 grams,122,11/10/2025
Birth,2020,Place of Residence,91104,3500 - 3999 grams,91,11/10/2025
Birth,2020,Place of Residence,91104,4000 - 5999 grams,26,11/10/2025
Birth,2020,Place of Residence,91104,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,91105,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,91105,1000 - 1499 grams,0,11/10/2025
Birth,2020,Place of Residence,91105,1500 - 1999 grams,0,11/10/2025
Birth,2020,Place of Residence,91105,2000 - 2499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91105,2500 - 2999 grams,16,11/10/2025
Birth,2020,Place of Residence,91105,3000 - 3499 grams,47,11/10/2025
Birth,2020,Place of Residence,91105,3500 - 3999 grams,24,11/10/2025
Birth,2020,Place of Residence,91105,4000 - 5999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91105,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,91106,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,91106,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91106,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91106,2000 - 2499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91106,2500 - 2999 grams,55,11/10/2025
Birth,2020,Place of Residence,91106,3000 - 3499 grams,104,11/10/2025
Birth,2020,Place of Residence,91106,3500 - 3999 grams,65,11/10/2025
Birth,2020,Place of Residence,91106,4000 - 5999 grams,15,11/10/2025
Birth,2020,Place of Residence,91106,Unreliable/Unknown,0,11/10/2025
Birth,2020,Place of Residence,91107,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,91107,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91107,1500 - 1999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91107,2000 - 2499 grams,11,11/10/2025
Birth,2020,Place of Residence,91107,2500 - 2999 grams,63,11/10/2025
Birth,2020,Place of Residence,91107,3000 - 3499 grams,114,11/10/2025
Birth,2020,Place of Residence,91107,3500 - 3999 grams,76,11/10/2025
